study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	study_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	sample_alias	sample_title
PRJNA34535	SAMN00004698	SRS006930	SRX027874	SRR018453	ILLUMINA	Illumina Genome Analyzer II	LL218	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-02.01	renlab.2009-03-06.2	351037151	08bb7b9d8d10eea49ee09ae58ddfc0ee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018453/SRR018453.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018453/SRR018453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018453/SRR018453.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004459	SRS004118	SRX006235	SRR018454	ILLUMINA	Illumina Genome Analyzer II	LL220	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K36me3 in hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K36me3.CDI-01.01	renlab.2009-03-06.4	373909604	e3dba771253bcc076dc6597e684c24cf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018454/SRR018454.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018454/SRR018454.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018454/SRR018454.fastq.gz	CDI-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004459	SRS004118	SRX006237	SRR018455	ILLUMINA	Illumina Genome Analyzer II	LL227	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K4me3 in hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K4me3.CDI-01.01	renlab.2009-03-20.3	300584704	008780c9d2eb2e86ff9905b2d10ab735	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018455/SRR018455.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018455/SRR018455.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018455/SRR018455.fastq.gz	CDI-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004459	SRS004118	SRX006236	SRR018456	ILLUMINA	Illumina Genome Analyzer II	LL228	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K4me1 in hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K4me1.CDI-01.01	renlab.2009-03-20.4	274751907	215fa8b2ceccfe04bf479a2dbce74cb5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018456/SRR018456.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018456/SRR018456.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018456/SRR018456.fastq.gz	CDI-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018975	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_1b	1346341445	236ad9fc9acd9ed96e345a613de1c64e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018975/SRR018975.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018975/SRR018975.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018975/SRR018975.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018976	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_2b	1341604558	5ef0752c82292bdc9e417eca69638b8a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018976/SRR018976.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018976/SRR018976.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018976/SRR018976.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018977	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_3b	1428099359	b2228e59766e1f37a3aef60de7e8382a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018977/SRR018977.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018977/SRR018977.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018977/SRR018977.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018978	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_4b	1369989812	42f94e1116aab0cadf133fea568d1d6f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018978/SRR018978.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018978/SRR018978.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018978/SRR018978.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018979	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_5b	1307546235	1aee917577ad54ae6ed6b0fae92db973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018979/SRR018979.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018979/SRR018979.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018979/SRR018979.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018980	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_6b	1370831859	2b3da37327ea4aa6cb14b702b0eac3ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018980/SRR018980.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018980/SRR018980.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018980/SRR018980.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018981	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2024_h1_r2b_7b	1350329685	6050c86477cd2a1f67125b2c3efac63d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018981/SRR018981.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018981/SRR018981.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018981/SRR018981.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018982	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_1b	708292911	555c693269448c07a8be73c04db617fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018982/SRR018982.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018982/SRR018982.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018982/SRR018982.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018983	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_2b	719264519	feebf2611409c9a9b1d4e47acbfca575	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018983/SRR018983.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018983/SRR018983.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018983/SRR018983.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018984	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_3b	731644080	f6688a7b72a55437f43305cf55c5f189	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018984/SRR018984.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018984/SRR018984.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018984/SRR018984.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018985	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_4b	729481043	481a70faec93c89e4082748e54afc559	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018985/SRR018985.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018985/SRR018985.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018985/SRR018985.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018986	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_5b	709851057	746dbb87509d7c61941d340bc285821b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018986/SRR018986.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018986/SRR018986.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018986/SRR018986.fastq.gz	H1_r2	Generic sample from Homo sapiens
