File accession	File format	Software used	Encyclopedia Version	Biosample term id	Biosample type	Tissue	Type	Age	Age	Age Units	Organism	Date	Project	md5sum	Assembly	File Status	Derived from	S3 URL	Size
ENCFF167YAT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR715VXD	candidate Cis-Regulatory Elements	ENCODE v4	adrenal gland	tissue	adult	51	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	bf4286b94b46271a712191cc8388dbcb	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/c354373a-6543-4436-8ca6-f43c4f15d90f/ENCFF167YAT.bed.gz	17988467
ENCFF429KYQ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR822MKC	candidate Cis-Regulatory Elements	ENCODE v4	left lung	tissue	embryonic	87	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	84835923b6c22537ca601ea0994763c2	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/fb01f32c-8cc8-46ab-92da-e458dfdd8b08/ENCFF429KYQ.bed.gz	18025196
ENCFF426NUD	bed bed3+	candidate Cis-Regulatory Elements	ENCSR933VLG	candidate Cis-Regulatory Elements	ENCODE v4	foreskin fibroblast	primary cell	postnatal			Homo sapiens	8/31/17	"Zhiping Weng, UMass"	0e12073622c1761bc123c47a116d0baa	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/1c6f9785-6c55-43e6-bf85-742df06e6f5a/ENCFF426NUD.bed.gz	18008529
ENCFF348RJV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR290HOF	candidate Cis-Regulatory Elements	ENCODE v4	CD14-positive monocyte	primary cell	adult	21	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	98d1f94003e420a7a42197de0b619460	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/9e3a089f-b6cd-4b4c-966e-8276ae26c2f6/ENCFF348RJV.bed.gz	17996586
ENCFF578DNQ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR418VVP	candidate Cis-Regulatory Elements	ENCODE v4	large intestine	tissue	embryonic	105	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	faea6196ed2d80fec25700663285fbf3	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/23508aee-61c1-47ac-b4a7-907147c99f57/ENCFF578DNQ.bed.gz	17992718
ENCFF116NKB	bed bed3+	candidate Cis-Regulatory Elements	ENCSR678ZNT	candidate Cis-Regulatory Elements	ENCODE v4	stomach	tissue	embryonic	127	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	63150edff7081f1c27162f7c113b6370	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/0a51fd6f-b681-4de8-ba19-1a5a09d6237f/ENCFF116NKB.bed.gz	17964681
ENCFF035ZPW	bed bed3+	candidate Cis-Regulatory Elements	ENCSR516CIL	candidate Cis-Regulatory Elements	ENCODE v4	endodermal cell	in vitro differentiated cells	embryonic			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	c6ee682dd9974c41424799e06b58f3b5	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/4540c632-dcdd-41ad-9eed-1454bfe722e5/ENCFF035ZPW.bed.gz	17917051
ENCFF154PKN	bed bed3+	candidate Cis-Regulatory Elements	ENCSR479PEM	candidate Cis-Regulatory Elements	ENCODE v4	uterus	tissue	adult	53	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	22fcd80a6f5697e110f5f31715e05e0f	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/81491651-d26c-49ee-af28-2aeba1d6de92/ENCFF154PKN.bed.gz	17971626
ENCFF365ETC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR106ZWF	candidate Cis-Regulatory Elements	ENCODE v4	brain microvascular endothelial cell	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	b7c70e4c4859fdaf843b8e7db7f7ffe8	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/658496c1-3980-4fdf-96b2-d36bc46f83b2/ENCFF365ETC.bed.gz	17866910
ENCFF175XWM	bed bed3+	candidate Cis-Regulatory Elements	ENCSR629WWU	candidate Cis-Regulatory Elements	ENCODE v4	lung	tissue	embryonic	67	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	f494f8b635c746bec2bccbd66ebeff7d	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/b431a39e-dc40-4f53-b17e-cd696a97b96a/ENCFF175XWM.bed.gz	17992372
