study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA473883	SAMN09276316	SRX4136809	SRR7230396	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163888: RNAseq_0hr_rep1; Homo sapiens; RNA-Seq	GSM3163888	8700282538;8975768976	577d920298b535529af22403924040e2;da37bb31ddc88655173fcc3be9ced8e7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230396/SRR7230396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230396/SRR7230396_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230396/SRR7230396_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230396/SRR7230396_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/006/SRR7230396	GSM3163888	RNAseq_0hr_rep1
PRJNA473883	SAMN09276315	SRX4136810	SRR7230397	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163889: RNAseq_3hr_rep1; Homo sapiens; RNA-Seq	GSM3163889	6835964036;7096153385	c5b761a3fb3e2ae728a3cf00327c30d1;a2e5c2bb2a9dbe62fb853c73bdd8980a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230397/SRR7230397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230397/SRR7230397_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230397/SRR7230397_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230397/SRR7230397_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/007/SRR7230397	GSM3163889	RNAseq_3hr_rep1
PRJNA473883	SAMN09276314	SRX4136811	SRR7230398	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163890: RNAseq_6hr_rep1; Homo sapiens; RNA-Seq	GSM3163890	8177884180;8498058620	fad73edd065ac66bcdd60815c272fc7f;2bbffac9f5bfb18c358cbeb34cf42a0c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230398/SRR7230398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230398/SRR7230398_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230398/SRR7230398_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230398/SRR7230398_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/008/SRR7230398	GSM3163890	RNAseq_6hr_rep1
PRJNA473883	SAMN09276502	SRX4136812	SRR7230399	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163891: RNAseq_12hr_rep1; Homo sapiens; RNA-Seq	GSM3163891	6024060173;6329713791	3ed9212fc8af43a86c4e01cf8e0f6877;352dde9105ca1e6a6c42b68180b7fd53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230399/SRR7230399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230399/SRR7230399_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230399/SRR7230399_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230399/SRR7230399_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/009/SRR7230399	GSM3163891	RNAseq_12hr_rep1
PRJNA473883	SAMN09276501	SRX4136813	SRR7230400	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163892: RNAseq_24hr_rep1; Homo sapiens; RNA-Seq	GSM3163892	7519290504;7760158618	862c3331fbdc29a699e3431c1fb1b97e;8ee4ccf7e597226af39a01caed4c0ef8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230400/SRR7230400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230400/SRR7230400_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230400/SRR7230400_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230400/SRR7230400_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/000/SRR7230400	GSM3163892	RNAseq_24hr_rep1
PRJNA473883	SAMN09276344	SRX4136814	SRR7230401	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163893: RNAseq_48hr_rep1; Homo sapiens; RNA-Seq	GSM3163893	9142514829;9527993918	7fd54a7b88dfe9804e8d682ec8f4a114;f4f31430c4100088038dbb6dcd1730f1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230401/SRR7230401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230401/SRR7230401_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230401/SRR7230401_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230401/SRR7230401_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/001/SRR7230401	GSM3163893	RNAseq_48hr_rep1
PRJNA473883	SAMN09276343	SRX4136815	SRR7230402	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163894: RNAseq_72hr_rep1; Homo sapiens; RNA-Seq	GSM3163894	8752550602;9108761506	c8470dbb53ead03522a066ac8e6c00e1;e8cd07694f2895e0b9f20557c4400dad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230402/SRR7230402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230402/SRR7230402_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230402/SRR7230402_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230402/SRR7230402_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/002/SRR7230402	GSM3163894	RNAseq_72hr_rep1
PRJNA473883	SAMN09276341	SRX4136816	SRR7230403	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163895: RNAseq_0hr_rep2; Homo sapiens; RNA-Seq	GSM3163895	7940304309;8277704257	fadf8c9e992a28c26e26c4edef0844ae;b9edbe6fc7a11c83ccc4bca94d290536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230403/SRR7230403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230403/SRR7230403_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230403/SRR7230403_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230403/SRR7230403_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/003/SRR7230403	GSM3163895	RNAseq_0hr_rep2
PRJNA473883	SAMN09276340	SRX4136817	SRR7230404	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163896: RNAseq_3hr_rep2; Homo sapiens; RNA-Seq	GSM3163896	7209572233;7527961177	ad262f064d8d7bf7615c2bdb447952e2;5cfc15cd5fab0dff1f4d8e709c6dfacd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230404/SRR7230404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230404/SRR7230404_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230404/SRR7230404_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230404/SRR7230404_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/004/SRR7230404	GSM3163896	RNAseq_3hr_rep2
PRJNA473883	SAMN09276338	SRX4136818	SRR7230405	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163897: RNAseq_6hr_rep2; Homo sapiens; RNA-Seq	GSM3163897	14774447929;15259766321	f18a15af81f3ec6c876bd0f9a605355c;8a91cfeb6b52f0581a1cd1d48819e10c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230405/SRR7230405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230405/SRR7230405_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230405/SRR7230405_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230405/SRR7230405_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/005/SRR7230405	GSM3163897	RNAseq_6hr_rep2
