ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0048598	embryonic morphogenesis	22	22/82	401/10965	9.356072058956853e-14	1.8365969451732303e-10	1.39159261255853e-10	9.856487885424292	MFAP2/COL11A1/SOX11/SIX3/LRP2/FRZB/FZD5/ZIC1/SOX2/ITGB5/SFRP2/SOX4/RSPO3/DLL1/FZD3/SULF1/TGFBR1/FGF8/PAX6/FOXG1/OTX2/ETS2	9
BP	GO:0007423	sensory organ development	21	21/82	385/10965	4.262552934152253e-13	4.1836957048704366e-10	3.16999331366165e-10	9.498941653821023	MFAP2/COL11A1/SOX11/SIX3/FRZB/FZD5/EPHA4/ZIC1/SOX2/SPRY1/DLL1/PTN/FZD3/TGFBR1/FGF8/PAX6/FOXG1/SIX6/SMOC1/SERPINF1/SOX3	9
BP	GO:0008285	negative regulation of cell population proliferation	21	21/82	451/10965	8.932112517063275e-12	5.844578956998403e-9	4.428447363722951e-9	8.353748512955365	SOX11/FRZB/FZD5/IGFBP5/SOX2/FEZF2/SPRY1/SFRP2/SOX4/DLL1/FEZF1/PTN/SULF1/TGFBR1/CDKN1C/PAX6/TP53I11/TPM1/SERPINF1/CXADR/FBLN1	9
BP	GO:0003002	regionalization	15	15/82	223/10965	7.853577526781364e-11	3.854143171267954e-8	2.9202908014058074e-8	7.534573899525028	SIX3/LRP2/FZD5/FEZF2/SPRY1/SFRP2/DLL1/FEZF1/TGFBR1/EMX2/FGF8/PAX6/FOXG1/OTX2/ETS2	9
BP	GO:0009952	anterior/posterior pattern specification	12	12/82	131/10965	2.0696070126337176e-10	8.125277131599976e-8	6.156536229160934e-8	7.210663560506665	SIX3/FZD5/FEZF2/SFRP2/DLL1/FEZF1/TGFBR1/EMX2/FGF8/PAX6/OTX2/ETS2	9
BP	GO:0048729	tissue morphogenesis	20	20/82	488/10965	3.009596857884726e-10	9.230267934256043e-8	6.993789629784588e-8	7.155287435223482	COL11A1/SOX11/SIX3/LRP2/FRZB/FZD5/IGFBP5/EPHA4/SPRY1/SFRP2/SOX4/RSPO3/EPHA7/DLL1/FZD3/SULF1/TGFBR1/FGF8/TPM1/TNNI3	9
BP	GO:0007389	pattern specification process	16	16/82	290/10965	3.291486273040871e-10	9.230267934256043e-8	6.993789629784588e-8	7.155287435223482	SIX3/LRP2/FZD5/ZIC1/FEZF2/SPRY1/SFRP2/DLL1/FEZF1/TGFBR1/EMX2/FGF8/PAX6/FOXG1/OTX2/ETS2	9
BP	GO:0090596	sensory organ morphogenesis	13	13/82	180/10965	6.773318448466227e-10	1.6620030142924006e-7	1.2593024957477342e-7	6.899869935933136	MFAP2/COL11A1/SOX11/SIX3/FRZB/FZD5/ZIC1/DLL1/PTN/FZD3/FGF8/PAX6/FOXG1	9
BP	GO:0072089	stem cell proliferation	10	10/82	88/10965	8.769990883883695e-10	1.9128324561181883e-7	1.449356388178674e-7	6.838824810948131	SOX11/SIX3/EPCAM/SFRP2/PTN/FZD3/PAX6/SOX5/FOXG1/FBLN1	9
BP	GO:0048562	embryonic organ morphogenesis	13	13/82	186/10965	1.015926861426986e-9	1.9942644289811734e-7	1.511057531785612e-7	6.820719000080983	MFAP2/COL11A1/SOX11/SIX3/FRZB/FZD5/ZIC1/DLL1/FZD3/TGFBR1/FGF8/PAX6/FOXG1	9
BP	GO:0045596	negative regulation of cell differentiation	19	19/82	480/10965	1.6288952167992592e-9	2.588558598154901e-7	1.9613552292103257e-7	6.707443742326912	SOX11/SIX3/FRZB/IGFBP5/EPHA4/SOX2/IL17RD/FEZF2/SPRY1/SFRP2/DPYSL3/EPHA7/DLL1/PTN/TGFBR1/PAX6/FOXG1/FBLN1/SOX3	9
BP	GO:0021871	forebrain regionalization	6	6/82	17/10965	1.6836378710673256e-9	2.588558598154901e-7	1.9613552292103257e-7	6.707443742326912	SIX3/FEZF2/FEZF1/EMX2/FGF8/PAX6	9
BP	GO:0003208	cardiac ventricle morphogenesis	8	8/82	47/10965	1.7142772173211266e-9	2.588558598154901e-7	1.9613552292103257e-7	6.707443742326912	COL11A1/SOX11/LRP2/SFRP2/SOX4/TGFBR1/TPM1/TNNI3	9
BP	GO:0010721	negative regulation of cell development	14	14/82	236/10965	1.869173773454742e-9	2.6208486552083277e-7	1.985821460068835e-7	6.7020598003484215	SOX11/SIX3/FRZB/EPHA4/SOX2/FEZF2/DPYSL3/EPHA7/DLL1/PTN/PAX6/FOXG1/FBLN1/SOX3	9
BP	GO:0072091	regulation of stem cell proliferation	8	8/82	48/10965	2.0447808398179045e-9	2.6759365257083646e-7	2.0275616327457542e-7	6.693025935462276	SOX11/SIX3/EPCAM/PTN/FZD3/PAX6/FOXG1/FBLN1	9
BP	GO:0090287	regulation of cellular response to growth factor stimulus	13	13/82	198/10965	2.190360390525159e-9	2.6872984041255544e-7	2.0361705472447697e-7	6.691185848817937	SOX11/LTBP1/LRP2/IL17RD/SPRY1/SFRP2/DLL1/SULF1/TGFBR1/CDKN1C/SHISA2/OTX2/NPTN	9
BP	GO:0045165	cell fate commitment	11	11/82	144/10965	8.61148818796428e-9	9.943736066455225e-7	7.534385640615188e-7	6.122952154599315	SOX2/FEZF2/SFRP2/DLL1/TGFBR1/FGF8/PAX6/SOX5/FOXG1/ZNF521/ETS2	9
BP	GO:0061351	neural precursor cell proliferation	10	10/82	115/10965	1.2313758804316875e-8	1.3428838073818902e-6	1.0175053327777629e-6	5.992463305945606	SIX3/LRP2/PTN/FZD3/EMX2/FGF8/PAX6/SOX5/FOXG1/CDH2	9
BP	GO:0003206	cardiac chamber morphogenesis	9	9/82	88/10965	1.653612605775538e-8	1.7084429184933582e-6	1.2944900897289945e-6	5.8879012700591495	COL11A1/SOX11/LRP2/SFRP2/SOX4/TGFBR1/FGF8/TPM1/TNNI3	9
BP	GO:0071363	cellular response to growth factor stimulus	18	18/82	496/10965	1.8353886601070035e-8	1.801433969895024e-6	1.3649495667006295e-6	5.864883395002902	SOX11/LTBP1/LRP2/IL17RD/ITGB5/SPRY1/SFRP2/DLL1/PTN/FGF17/SULF1/TGFBR1/FGF8/CDKN1C/SOX5/SHISA2/OTX2/NPTN	9
BP	GO:0003231	cardiac ventricle development	9	9/82	90/10965	2.0195700986970597e-8	1.8878171922582515e-6	1.4304022804305493e-6	5.844541806170072	COL11A1/SOX11/LTBP1/LRP2/SFRP2/SOX4/TGFBR1/TPM1/TNNI3	9
BP	GO:0003205	cardiac chamber development	10	10/82	124/10965	2.5536286093351838e-8	2.2785331636931664e-6	1.7264484330098638e-6	5.762846388987693	COL11A1/SOX11/LTBP1/LRP2/SFRP2/SOX4/TGFBR1/FGF8/TPM1/TNNI3	9
BP	GO:0048568	embryonic organ development	14	14/82	299/10965	3.8500881248290384e-8	3.285966516973653e-6	2.4897823891915017e-6	5.60383860925095	MFAP2/COL11A1/SOX11/SIX3/FRZB/FZD5/ZIC1/RSPO3/DLL1/FZD3/TGFBR1/FGF8/PAX6/FOXG1	9
BP	GO:0001654	eye development	13	13/82	257/10965	5.032304269377107e-8	3.92257765239259e-6	2.972143723533115e-6	5.526930193286916	MFAP2/SOX11/SIX3/FZD5/SOX2/SPRY1/DLL1/PTN/TGFBR1/PAX6/SIX6/SMOC1/SERPINF1	9
BP	GO:0150063	visual system development	13	13/82	257/10965	5.032304269377107e-8	3.92257765239259e-6	2.972143723533115e-6	5.526930193286916	MFAP2/SOX11/SIX3/FZD5/SOX2/SPRY1/DLL1/PTN/TGFBR1/PAX6/SIX6/SMOC1/SERPINF1	9
BP	GO:0050768	negative regulation of neurogenesis	12	12/82	213/10965	5.313008077179015e-8	3.92257765239259e-6	2.972143723533115e-6	5.526930193286916	SOX11/SIX3/EPHA4/SOX2/FEZF2/DPYSL3/EPHA7/DLL1/PTN/PAX6/FOXG1/SOX3	9
BP	GO:0048880	sensory system development	13	13/82	259/10965	5.513453470236212e-8	3.92257765239259e-6	2.972143723533115e-6	5.526930193286916	MFAP2/SOX11/SIX3/FZD5/SOX2/SPRY1/DLL1/PTN/TGFBR1/PAX6/SIX6/SMOC1/SERPINF1	9
BP	GO:0072001	renal system development	12	12/82	214/10965	5.595118403820301e-8	3.92257765239259e-6	2.972143723533115e-6	5.526930193286916	SOX11/EPCAM/EPHA4/SPRY1/SOX4/EPHA7/DLL1/SULF1/TGFBR1/EMX2/FGF8/SERPINF1	9
BP	GO:0003007	heart morphogenesis	11	11/82	179/10965	8.265829491826436e-8	5.595111480156998e-6	4.239425434464884e-6	5.3726929989615035	COL11A1/SOX11/LRP2/SPRY1/SFRP2/SOX4/DLL1/TGFBR1/FGF8/TPM1/TNNI3	9
