time	cluster	scaled_expression
0	0	0.00381283559823576
4	0	-0.08730265957397729
6	0	0.08899879999616818
8	0	-0.07129791196033121
10	0	0.016013629942740977
0	1	-1.3858438834834184
4	1	-0.36311421059281235
6	1	0.2496882992114427
8	1	0.618258264074527
10	1	0.8805708351376421
0	2	-0.722854138291608
4	2	-0.8096218067185088
6	2	-0.1485958597664316
8	2	0.3598129806602065
10	2	1.1375723451990367
0	3	-1.4701188559819303
4	3	0.2526685312806863
6	3	0.5860362056866888
8	3	0.5023542521223809
10	3	0.19070930117201468
0	4	-0.22886266154500304
4	4	0.8754063561327589
6	4	0.6880695317297681
8	4	-0.07585269097497471
10	4	-0.9724347132976372
0	5	1.452504013792404
4	5	0.4446042863862609
6	5	-0.21247824615641253
8	5	-0.657344897602464
10	5	-1.0369457504518258
0	6	0.9089683362015927
4	6	0.7002695670793929
6	6	0.28715625238053544
8	6	-0.6301264626809118
10	6	-1.3072179620419742
0	7	1.5211390688238091
4	7	-0.13771229153969242
6	7	-0.5834902010247095
8	7	-0.5480878789305224
10	7	-0.2945709818316961
0	8	0.28106128787310813
4	8	-0.8421576657791003
6	8	-0.6614851558028401
8	8	-0.2188946004029211
10	8	0.8850031991254128
