gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH00001,0.025595156,-3.167401254,9,7.670893737
LH00007,0.131593155,-0.7387799,9,0.989962681
LH00008,0.167375081,-0.645970385,10,0.762939685
LH00016,0.575831433,-0.123318259,10,0.044972463
LH00024,0.116584643,0.599319093,10,0.851039146
LH00031,0.929650484,0.095558246,10,0.00460575
LH00032,0.003539443,0.974706402,9,3.63472464
LH00034,0.608792217,-0.365109226,9,0.11972235
LH00035,0.179945641,-1.54206974,9,1.747514377
LH00048,0.303670558,0.50926112,10,0.401028648
LH00051,0.270579491,0.408861549,10,0.353135964
LH00053,0.192417649,-0.010766375,9,0.011724027
LH00063,0.221358232,0.73906645,10,0.736383772
LH00072,0.628206615,0.468158577,9,0.143802614
LH00073,0.867861258,0.44418685,9,0.041594364
LH00074,0.464405075,0.738798047,9,0.374409796
LH00076,0.791122106,0.007014601,10,0.001085945
LH00080,0.799518018,0.275472695,9,0.040725031
LH00082,0.317953823,-0.821677142,6,0.622093718
LH00087,0.116647837,-0.210971737,9,0.299506451
LH00089,0.723987023,0.390700513,9,0.083377568
LH00097,0.874643554,0.425421777,10,0.037648999
LH00098,0.516796747,-0.880845895,10,0.384185121
LH00102,0.58908984,-0.420648545,10,0.147077819
LH00103,0.9354545,-0.319505795,9,0.014085751
LH00104,0.983328808,-0.316315013,10,0.003513655
LH00105,0.104461059,1.066509734,10,1.591830684
LH00107,0.029338686,1.38649493,10,3.232797129
LH00108,0.085578181,0.982171711,10,1.595342303
LH00109,0.698686631,-0.087927581,10,0.020830783
LH00112,0.84060341,-0.126177229,10,0.01447592
LH00116,0.405310902,0.280558809,10,0.167412289
LH00117,0.528174253,0.193519336,9,0.081619914
LH00118,0.970413264,-0.428470381,10,0.008502573
LH00123,0.105774538,-0.682463567,9,1.012983861
LH00127,0.404218304,-0.878974816,7,0.526060892
LH00132,0.602851383,-0.214863574,10,0.071847733
LH00133,0.250926108,0.437848172,9,0.399987349
LH00134,0.682130996,0.072033123,10,0.018206605
LH00138,0.020118469,-1.104101155,10,2.849582864
LH00139,0.151892938,-0.60815617,8,0.757280414
LH00147,0.667626403,-0.472756591,10,0.126204448
LH00149,0.723593129,0.600922962,10,0.128456236
LH00150,0.476069399,0.121202792,8,0.05943686
LH00151,0.159581318,-0.652750947,9,0.79151378
LH00152,0.48620888,0.37914031,10,0.180647869
LH00153,0.596126922,0.208147997,9,0.071144823
LH00154,0.649857313,0.13832884,10,0.039393055
LH00162,0.854515317,0.220024449,10,0.022856423
LH00165,0.413914551,1.340562197,10,0.781321656
LH00171,0.496317929,-2.122845861,7,0.982602105
LH00173,0.017708755,-1.123150554,7,2.993424639
LH00174,0.262930971,-0.348340605,10,0.307463412
LH00176,0.989996819,0.323727304,10,0.002150433
LH00177,0.477967082,-0.401887067,9,0.196025757
LH00179,0.373586591,-0.430349736,8,0.279969653
LH00184,0.885647452,0.012744344,8,0.00102257
LH00185,0.461361004,0.360918906,8,0.184475599
