,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
AADACL2_+_151451732.23-P1P2,2353,3263,2295,3915,-0.120308488,-0.06959228,-0.094950384
AADACL2_+_151451926.23-P1P2,2003,3361,2205,4604,0.054314913,0.121591691,0.087953302
AADACL2_+_151452121.23-P1P2,2343,2912,2544,3518,0.034440395,-0.059660473,-0.012610039
AADACL2_-_151451828.23-P1P2,2481,3538,2500,4239,-0.073294962,-0.071615682,-0.072455322
AADACL2_-_151451961.23-P1P2,858,1288,967,1829,0.08823692,0.173516881,0.130876901
AADAT_+_171010904.23-P1P2,1541,1996,1527,2720,-0.097468121,0.114089331,0.008310605
AADAT_+_171010929.23-P1P2,492,869,802,1185,0.6206426,0.115053377,0.367847988
AADAT_+_171011392.23-P1P2,801,1001,460,1114,-0.884469703,-0.178098342,-0.531284022
AADAT_-_171011321.23-P1P2,763,1219,755,1485,-0.099507734,-0.047640795,-0.073574265
AADAT_-_171011368.23-P1P2,746,1019,1039,1332,0.393646797,0.054034431,0.223840614
AAK1_+_69870290.23-P1P2,370,426,487,534,0.31209518,-0.006419289,0.152837946
AAK1_+_69870701.23-P1P2,569,682,423,746,-0.512072311,-0.203001709,-0.35753701
AAK1_-_69870541.23-P1P2,356,296,240,508,-0.653144157,0.446825721,-0.103159218
AAK1_-_69870791.23-P1P2,1442,1842,1183,2130,-0.369922412,-0.122825231,-0.246373822
AAK1_-_69870794.23-P1P2,395,735,714,259,0.769770099,-1.837197752,-0.533713826
AANAT_+_74463718.23-P1P2,1250,1698,1436,2556,0.115826333,0.257645777,0.186736055
AANAT_+_74463735.23-P1P2,1785,2830,2116,3693,0.161114232,0.051585609,0.10634992
AANAT_+_74464088.23-P1P2,1108,1242,976,971,-0.26730615,-0.687527573,-0.477416862
AANAT_-_74464175.23-P1P2,733,1186,765,1720,-0.022654772,0.203898955,0.090622091
AANAT_-_74464185.23-P1P2,1805,1782,1335,2151,-0.519460417,-0.060895412,-0.290177915
AARS2_+_44280650.23-P1P2,1170,1684,1656,925,0.416892821,-1.196772468,-0.389939823
AARS2_+_44281006.23-P1P2,1003,1040,962,784,-0.144514128,-0.740063569,-0.442288849
AARS2_+_44281027.23-P1P2,817,650,840,300,-0.044248072,-1.447882818,-0.746065445
AARS2_+_44281044.23-P1P2,472,759,545,307,0.123168049,-1.63826683,-0.757549391
AARS2_+_44281056.23-P1P2,982,590,1675,500,0.686064844,-0.57119246,0.057436192
AARS_+_70323318.23-P1P2,289,58,0,10,-8.264210412,-2.868458501,-5.566334456
AARS_+_70323322.23-P1P2,1010,582,258,93,-2.053213644,-2.978122132,-2.515667888
AARS_+_70323353.23-P1P2,351,51,46,0,-3.016066586,-6.032845318,-4.524455952
AARS_+_70323362.23-P1P2,840,337,23,49,-5.274984883,-3.114300537,-4.19464271
AARS_-_70323332.23-P1P2,1025,1180,67,270,-4.019620325,-2.460161147,-3.239890736
AASS_+_121784000.23-P1P2,115,420,124,169,0.024404938,-1.645771682,-0.810683372
AASS_+_121784219.23-P1P2,1011,1320,1125,1393,0.069840683,-0.254748272,-0.092453795
AASS_+_121784247.23-P1P2,786,698,627,818,-0.410365191,-0.103531794,-0.256948492
AASS_-_121784277.23-P1P2,1560,1894,1478,2735,-0.162201081,0.197698902,0.01774891
AASS_-_121784328.23-P1P2,1335,1492,1359,1641,-0.058595607,-0.195077897,-0.126836752
AATK_+_79139571.23-ENST00000326724.4,450,398,465,938,-0.036995607,0.904413892,0.433709142
AATK_+_79139589.23-ENST00000326724.4,1421,1073,1428,1912,-0.077211897,0.501026847,0.211907475
AATK_+_79139592.23-ENST00000326724.4,1323,1054,947,1786,-0.566678052,0.428451613,-0.06911322
AATK_-_79139586.23-ENST00000326724.4,764,796,800,1148,-0.01787396,0.195876706,0.089001373
AATK_-_79139956.23-ENST00000326724.4,601,431,718,442,0.172317532,-0.2960471,-0.061864784
ABAT_+_8768492.23-P1,512,992,635,340,0.22631146,-1.877210975,-0.825449757
ABAT_+_8768682.23-P1,559,693,570,904,-0.056187685,0.05106182,-0.002562933
ABAT_+_8807445.23-P2,733,1002,461,865,-0.753347769,-0.544516071,-0.64893192
ABAT_+_8807450.23-P2,719,1276,1234,2057,0.694977397,0.356507864,0.525742631
ABAT_+_8807464.23-P2,2238,3004,2283,2948,-0.055580498,-0.359553889,-0.207567193
ABAT_+_8807492.23-P2,766,1103,475,1732,-0.7737182,0.318600539,-0.227558831
ABAT_+_8807696.23-P2,791,1649,479,1806,-0.80795336,-0.201199106,-0.504576233
ABAT_-_8768504.23-P1,352,337,248,688,-0.58953663,0.697254373,0.053858872
ABAT_-_8768523.23-P1,1113,1762,1229,1569,0.058730001,-0.499774172,-0.220522085
ABAT_-_8768533.23-P1,328,556,336,795,-0.049535903,0.183464377,0.066964237
ABCC2_+_101542515.23-P1P2,1333,1393,1742,1624,0.301766522,-0.111049226,0.095358648
ABCC2_+_101542910.23-P1P2,1192,1909,1067,2113,-0.244125381,-0.185929936,-0.215027658
ABCC2_+_101542914.23-P1P2,1559,2692,1782,2573,0.108575087,-0.397632553,-0.144528733
ABCC2_+_101542981.23-P1P2,977,1553,974,1572,-0.088738111,-0.314862212,-0.201800162
ABCC2_-_101542808.23-P1P2,4,19,0,0,,,
ABCC8_+_17497953.23-P1P2,1596,2104,1718,2036,0.021968063,-0.379802743,-0.17891734
ABCC8_+_17498387.23-P1P2,854,682,748,940,-0.275499121,0.130483417,-0.072507852
ABCC8_-_17497979.23-P1P2,1570,1759,1786,2422,0.1016662,0.129037782,0.115351991
ABCC8_-_17497997.23-P1P2,1114,984,769,855,-0.618995051,-0.535139496,-0.577067273
ABCC8_-_17498220.23-P1P2,888,1148,975,1174,0.050541221,-0.300095834,-0.124777307
ABCC9_+_22093672.23-P1P2,197,673,392,1080,0.908356703,0.349947302,0.629152003
ABCC9_+_22093678.23-P1P2,1083,1233,614,1482,-0.903024004,-0.067032952,-0.485028478
ABCC9_+_22093937.23-P1P2,427,685,188,466,-1.267804729,-0.888179633,-1.077992181
ABCC9_+_22093941.23-P1P2,121,116,195,231,0.604165755,0.661362446,0.6327641
ABCC9_+_22094309.23-P1P2,948,139,287,169,-1.808137644,-0.050467237,-0.92930244
ABCE1_+_146019317.23-P1P2,649,251,226,106,-1.606197027,-1.5760287,-1.591112863
ABCE1_+_146019463.23-P1P2,602,305,77,191,-3.051134458,-1.007642205,-2.029388331
ABCE1_+_146019842.23-P1P2,1426,568,256,438,-2.562059588,-0.70736566,-1.634712624
ABCE1_-_146019502.23-P1P2,407,82,136,0,-1.665723465,-6.707445032,-4.186584248
ABCE1_-_146019516.23-P1P2,695,435,73,288,-3.33534593,-0.92735219,-2.13134906
ABCG1_+_43639544.23-P1P2,913,982,940,1364,-0.042255425,0.141643114,0.049693845
ABCG1_+_43639681.23-P1P2,44,128,1,308,,0.93438094,
ABCG1_-_43639282.23-P1P2,931,1262,846,1695,-0.222424826,0.093167763,-0.064628532
ABCG1_-_43639541.23-P1P2,872,1347,871,2092,-0.085956738,0.302727401,0.108385331
ABCG1_-_43639626.23-P1P2,242,569,339,247,0.401976904,-1.536323211,-0.567173153
ABL1_+_133589617.23-ENST00000372348.2,984,656,820,1063,-0.347335727,0.363968277,0.008316275
ABL1_+_133589629.23-ENST00000372348.2,884,1188,628,931,-0.577583132,-0.684087364,-0.630835248
ABL1_+_133589636.23-ENST00000372348.2,1132,1561,1357,1209,0.177245441,-0.701061893,-0.261908226
ABL1_-_133589228.23-ENST00000372348.2,1092,1709,1789,3007,0.62787921,0.482766871,0.55532304
