	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00001	CUFF.182.5,CUFF.182.7	0.9653794348206843	0.28443146316053425	10.0	10.0	CUFF.182.5,CUFF.182.7	0.7105632160675341	0.11308845174609712	10.0	10.0	CUFF.182.5,CUFF.182.7	0.8821319214605223	0.22347224501133436	10.0	10.0
LH00007	ENST00000422528	0.4803900144190635	-0.20843583849308192	10.0	10.0	ENST00000422528	0.8223215931636517	0.0817330274333254	10.0	10.0	ENST00000422528	0.5338456529704703	-0.2075237946271095	10.0	10.0
LH00012	ENST00000412115	0.5626481892141193	-0.665402581250789	10.0	10.0	ENST00000412115	0.1748255221658792	-0.38214729926131935	10.0	10.0	ENST00000412115	0.2661984155512228	-0.5462928575685643	10.0	10.0
LH00013	ENST00000326734	0.9905969801106779	-0.02737810398835065	10.0	10.0	ENST00000326734	0.006459233365645649	0.2284851419355511	10.0	10.0	ENST00000326734	0.13045116338001966	0.18440494709983643	10.0	10.0
LH00017	ENST00000608189,ENST00000609009	0.49535432673977864	-0.16897467853182127	10.0	10.0	ENST00000608189,ENST00000609009	0.15858879882730992	-0.3076503865355638	10.0	10.0	ENST00000608189,ENST00000609009	0.6419641570031309	-0.1516847110880104	10.0	10.0
LH00018	P1P2	0.6159559132821562	-0.18056082537756812	10.0	10.0	P1P2	0.2720609974486873	-0.0958635302923654	10.0	10.0	P1P2	0.20534816898027453	-0.08437455311239554	10.0	10.0
LH00022	CUFF.5.1	0.7606804053976496	0.011157814430327229	9.0	9.0	CUFF.5.1	0.44413379417798793	-0.3530935310240928	10.0	10.0	CUFF.5.1	0.9748155988236142	-0.1177635576194259	9.0	9.0
LH00023	P1P2	0.13416663484137994	-0.40023005845298115	10.0	10.0	P1P2	0.14510289390031247	-0.18749411996622345	10.0	10.0	P1P2	0.09087088767779596	-0.26838965190426084	10.0	10.0
LH00024	CUFF.16.11	0.5226435205846274	0.08479167219614177	10.0	10.0	CUFF.16.11	0.03576088162341409	0.2916592596972717	10.0	10.0	CUFF.16.11	0.12051136315135853	0.23775167456096202	10.0	10.0
LH00027	ENST00000434139,ENST00000453732	0.5434133480023989	-0.12410466801614471	9.0	9.0	ENST00000434139,ENST00000453732	0.6445144259870722	0.25420749664790315	9.0	9.0	ENST00000434139,ENST00000453732	0.8755350039978619	0.13524213157963078	9.0	9.0
LH00034	CUFF.120.1,CUFF.120.2	0.27762210007622645	-0.1559014185398481	10.0	10.0	CUFF.120.1,CUFF.120.2	0.2575080925978105	-0.010686363019587595	10.0	10.0	CUFF.120.1,CUFF.120.2	0.09731721281885958	-0.18394983498342576	10.0	10.0
LH00035	CUFF.40.1	0.3386169189795105	-0.0357946025236921	10.0	10.0	CUFF.40.1	0.26213445831001425	-0.20446213356960677	10.0	10.0	CUFF.40.1	0.16779717561902108	-0.14257772846452532	10.0	10.0
LH00043	CUFF.78.1	0.2720629762928821	0.11405720176668371	10.0	10.0	CUFF.78.1	0.21841208487822206	-0.005959741053385426	10.0	10.0	CUFF.78.1	0.0882614672029933	-0.053488263667043574	10.0	10.0
LH00045	CUFF.70.1	0.06637158224428456	-0.783965478654799	10.0	10.0	CUFF.70.1	0.01693531239214064	-0.4176390500893274	10.0	10.0	CUFF.70.1	0.005374600148003122	-0.5359723027781529	10.0	10.0
LH00046	ENST00000606645	0.7381550328091387	-0.11466731370068911	10.0	10.0	ENST00000606645	0.17227766644053633	0.4575265636114613	10.0	10.0	ENST00000606645	0.34018278289701587	0.08082609966205716	10.0	10.0
LH00051	CUFF.143.3	0.26215181628115825	-0.01067554412730722	10.0	10.0	CUFF.143.3	0.3089491573053813	-0.26293276955465306	10.0	10.0	CUFF.143.3	0.722175109632653	-0.12044601385476171	10.0	10.0
LH00053	P1P2	0.14211038207327686	-0.3784234722346273	10.0	10.0	P1P2	0.7101344139019334	0.1726181468443562	10.0	10.0	P1P2	0.5583490670570147	-0.22903579219222747	10.0	10.0
LH00057	CUFF.217.3	0.8353678543457568	-0.2508624741889863	10.0	10.0	CUFF.217.3	0.6816197583563697	-0.17065652839461073	10.0	10.0	CUFF.217.3	0.6223005556051746	-0.1701516197537288	10.0	10.0
LH00060	ENST00000602406	0.6717899453826817	-0.005078088888285047	10.0	10.0	ENST00000602406	0.4129117886548044	0.05150391687735756	10.0	10.0	ENST00000602406	0.5525573391353078	0.03307284900351478	10.0	10.0
LH00061	CUFF.251.1	0.8977631584659634	-0.1779117964306662	10.0	10.0	CUFF.251.1	0.4847226283545941	-0.15018369807124554	10.0	10.0	CUFF.251.1	0.7891175442998699	-0.23696476725371177	10.0	10.0
LH00062	CUFF.282.14	0.9566746812349873	-0.23062382170972665	10.0	10.0	CUFF.282.14	0.8450153535627953	-0.0593005423487658	10.0	10.0	CUFF.282.14	0.6403156473911318	-0.045126499460237175	10.0	10.0
LH00063	CUFF.275.1	0.19984231092275428	-0.11132539064309888	10.0	10.0	CUFF.275.1	0.3710558771338439	0.06103718184879228	10.0	10.0	CUFF.275.1	0.773645652871257	-0.08558122465436163	10.0	10.0
LH00064	P1P2	0.3086175031279136	-0.18785415186298238	10.0	10.0	P1P2	0.6296438577160682	-0.08830382304375917	10.0	10.0	P1P2	0.7984411901421004	-0.20777637255752582	10.0	10.0
LH00065	CUFF.339.2,CUFF.339.3,CUFF.339.4	0.06239188364764657	0.12020820718615773	10.0	10.0	CUFF.339.2,CUFF.339.3,CUFF.339.4	0.24095376020667914	0.04783745415578106	10.0	10.0	CUFF.339.2,CUFF.339.3,CUFF.339.4	0.045311542130792214	0.05846652839598354	10.0	10.0
LH00068	P1P2	0.0016321427843678273	-0.8137368434481503	10.0	10.0	P1P2	0.00017054158581646862	-1.1033463795076843	10.0	10.0	P1P2	5.751260554525076e-05	-0.9240325886522666	10.0	10.0
LH00076	CUFF.336.1	0.3608298376339223	0.09582076373335936	10.0	10.0	CUFF.336.1	0.30908607493253526	-0.25085470338545174	10.0	10.0	CUFF.336.1	0.8803146504054735	-0.14178372002163422	10.0	10.0
LH00081	CUFF.359.1	0.0017328519235920818	-0.7250707471154647	10.0	10.0	CUFF.359.1	0.000760016111468369	-0.6674703816511433	10.0	10.0	CUFF.359.1	0.00013184319624928947	-0.6778578083230423	10.0	10.0
LH00086	CUFF.393.2	0.9772976856054953	0.04594206724741476	10.0	10.0	CUFF.393.2	0.3750724610459589	0.04643131896452309	10.0	10.0	CUFF.393.2	0.7007241976778483	0.03609601719431263	10.0	10.0
LH00089	CUFF.696.17	0.9791317793075712	-0.06547120958545947	10.0	10.0	CUFF.696.17	0.9648658987980059	0.025786551055442242	10.0	10.0	CUFF.696.17	0.965783866632459	-0.04828903327785158	10.0	10.0
LH00092	CUFF.449.1	0.03730520962485888	-0.6220444219941262	9.0	9.0	CUFF.449.1	0.0022385761061012805	-0.7919536915802557	10.0	10.0	CUFF.449.1	0.004060730340569575	-0.6200500530374159	9.0	9.0
LH00093	CUFF.454.1	0.12123479893763411	0.28362149625032573	10.0	10.0	CUFF.454.1	0.9648658987980059	-0.0786556428183522	10.0	10.0	CUFF.454.1	0.28690644674875854	0.08916857601474999	10.0	10.0
LH00095	CUFF.468.1	0.4633937366595311	-0.09660089584966003	10.0	10.0	CUFF.468.1	0.3487039776642974	-0.2502971327803248	10.0	10.0	CUFF.468.1	0.34105804604504253	-0.21747778837340978	10.0	10.0
LH00097	ENST00000457809	0.8927610625164359	-0.10669401022883003	10.0	10.0	ENST00000457809	0.04218483466582011	0.10845413009128851	10.0	10.0	ENST00000457809	0.2604233727705765	0.09699225173810615	10.0	10.0
LH00098	CUFF.475.4	0.4939012238045517	0.05423965889127019	10.0	10.0	CUFF.475.4	0.48220681866623394	0.1717374478767031	10.0	10.0	CUFF.475.4	0.3582626206028767	0.031344465090068385	10.0	10.0
LH00102	CUFF.476.7	0.926027126599682	-0.4450156430227117	10.0	10.0	CUFF.476.7	0.3961964779684164	-0.22015912365922774	10.0	10.0	CUFF.476.7	0.4665569147373013	-0.24113258457093634	10.0	10.0
LH00103	ENST00000457898	0.08673466437163505	0.20568568431073878	10.0	10.0	ENST00000457898	0.7749683924495558	-0.16893048309832948	10.0	10.0	ENST00000457898	0.4655002384544953	0.11167550365033863	10.0	10.0
LH00104	CUFF.478.2	0.45710758485140945	-0.23329762603602164	10.0	10.0	CUFF.478.2	0.9469763306105159	0.03387013660330029	10.0	10.0	CUFF.478.2	0.7157159550422629	-0.19907437367032732	10.0	10.0
LH00105	CUFF.480.1	0.36598910009133767	0.10157663444920328	10.0	10.0	CUFF.480.1	0.04253603004085931	0.23145439814260824	10.0	10.0	CUFF.480.1	0.08719219212800713	0.1883413979260966	10.0	10.0
LH00107	CUFF.503.1	0.21168523650115534	0.3900843525766419	10.0	10.0	CUFF.503.1	0.33843657843957897	0.1462527430123937	10.0	10.0	CUFF.503.1	0.09010347615434153	0.21077762077565612	10.0	10.0
LH00108	CUFF.503.2	0.858779571828328	-0.08395668926074566	10.0	10.0	CUFF.503.2	0.6531374496901365	-0.06997885813470449	10.0	10.0	CUFF.503.2	0.7191583396976267	-0.07134169947811418	10.0	10.0
LH00109	ENST00000562878	0.11212726412970371	0.15961313543784	10.0	10.0	ENST00000562878	0.5755063888116252	-0.050464818368058044	10.0	10.0	ENST00000562878	0.252938682881398	0.021674621260816623	10.0	10.0
LH00112	CUFF.490.1	0.8147777106923781	0.06578158242598707	10.0	10.0	CUFF.490.1	0.8621781452541663	0.06802975432100812	10.0	10.0	CUFF.490.1	0.8180684265481539	0.03490554406081053	10.0	10.0
LH00118	CUFF.510.1,CUFF.510.3	0.31535815223735375	0.268429885158173	10.0	10.0	CUFF.510.1,CUFF.510.3	0.07634534570518094	0.1535186502344245	10.0	10.0	CUFF.510.1,CUFF.510.3	0.04935920507429062	0.19219952182474298	10.0	10.0
LH00122	CUFF.552.1	0.940196471146982	-0.07636270464983129	10.0	10.0	CUFF.552.1	0.1602962990937814	0.15370867445619582	10.0	10.0	CUFF.552.1	0.31653917262235676	0.05669075447936892	10.0	10.0
LH00123	P1P2	2.732659690805533e-05	-0.7106738501292659	10.0	10.0	P1P2	6.919692700080875e-05	-0.532091168224189	10.0	10.0	P1P2	2.8318763622929857e-06	-0.5760150718852767	10.0	10.0
LH00124	CUFF.555.1	0.041465856173257695	-0.4095846993059087	10.0	10.0	CUFF.555.1	0.012711468811649305	-0.5193438538782894	10.0	10.0	CUFF.555.1	0.008833617506302262	-0.5147134675795261	10.0	10.0
LH00129	TUCPT_00000016,CUFF.641.1	0.6042756070829951	-0.09006250460430627	10.0	10.0	TUCPT_00000016,CUFF.641.1	0.4981378399529357	0.137167099413382	10.0	10.0	TUCPT_00000016,CUFF.641.1	0.888952138773044	-0.06251028972117455	10.0	10.0
LH00130	P1P2	0.6470253307709292	0.09104416137089698	10.0	10.0	P1P2	0.5380182183259119	0.056797218950900154	10.0	10.0	P1P2	0.34959315668279634	0.0963328138409909	10.0	10.0
LH00131	CUFF.602.1	0.2861049429088477	-0.3111205577101033	10.0	10.0	CUFF.602.1	0.30881228019612783	-0.2303056719902661	10.0	10.0	CUFF.602.1	0.14430990981296032	-0.22777445711523037	10.0	10.0
LH00138	CUFF.644.2,CUFF.644.3	0.4374416316360875	-0.15285950356609262	8.0	8.0	CUFF.644.2,CUFF.644.3	0.46652153357164317	-0.04793117280476116	8.0	8.0	CUFF.644.2,CUFF.644.3	0.3429099966118144	-0.12368763528912506	8.0	8.0
LH00139															
LH00142	P1P2	0.43616456965779293	-0.09630261269318019	10.0	10.0	P1P2	0.08281487454449578	0.2502750917349531	10.0	10.0	P1P2	0.5984961292275528	0.05657492054288895	10.0	10.0
LH00143	ENST00000610135	0.03391755646339167	0.31534990521740364	10.0	10.0	ENST00000610135	0.07639312312629949	0.2700627582389908	10.0	10.0	ENST00000610135	0.01070417791495998	0.3105041682634108	10.0	10.0
LH00147	CUFF.674.1	0.33731265645488406	-0.27624077764596594	10.0	10.0	CUFF.674.1	0.12711737564184117	-0.013431469849795338	10.0	10.0	CUFF.674.1	0.7368887445381002	-0.060739995188874435	10.0	10.0
LH00149	CUFF.683.2	0.080722246348843	0.3944792815931503	10.0	10.0	CUFF.683.2	0.17373016105474126	0.21063279288268397	10.0	10.0	CUFF.683.2	0.08159746039114965	0.29668574241693285	10.0	10.0
LH00150	CUFF.678.1	0.6816718450863934	0.3491086365967326	10.0	10.0	CUFF.678.1	0.30581112343721395	0.6269677213978205	10.0	10.0	CUFF.678.1	0.43341052141689185	0.5309468839781838	10.0	10.0
LH00151	CUFF.678.3	0.6103047490295042	0.3796728680847785	10.0	10.0	CUFF.678.3	0.8060100810216353	-0.08339206771194844	10.0	10.0	CUFF.678.3	0.65521523989738	-0.013595126249068326	10.0	10.0
LH00152	CUFF.691.2	0.009355498837932599	0.4918408295401085	10.0	10.0	CUFF.691.2	0.3507809628856562	0.10679630986065543	10.0	10.0	CUFF.691.2	0.016671789894128805	0.3284047601591908	10.0	10.0
LH00153	CUFF.690.1	0.893670223212159	0.03812544600983264	10.0	10.0	CUFF.690.1	0.05449676901252785	0.23671877032704636	10.0	10.0	CUFF.690.1	0.35495840745488993	0.20025523370722167	10.0	10.0
LH00154	CUFF.690.2	0.7084304658241558	0.09387031212139325	10.0	10.0	CUFF.690.2	0.6300529033992048	-0.08429097945301849	10.0	10.0	CUFF.690.2	0.628008812383652	0.05186533564588434	10.0	10.0
LH00159	CUFF.763.2	0.4134835994139032	0.24098104540062418	10.0	10.0	CUFF.763.2	0.07264725811760839	0.13625198321471615	10.0	10.0	CUFF.763.2	0.27382425706110813	0.25663439863045	10.0	10.0
LH00161	CUFF.745.1	0.810763652356557	0.19543266789722183	10.0	10.0	CUFF.745.1	0.9804766913218559	0.12070091870394052	10.0	10.0	CUFF.745.1	0.6748752000370228	-0.019455421209537777	10.0	10.0
LH00162	CUFF.756.2	0.6034737456479826	-0.08801664857360612	10.0	10.0	CUFF.756.2	0.1019347947058068	-0.37382536293150076	10.0	10.0	CUFF.756.2	0.1242726576083832	-0.25983993426982505	10.0	10.0
LH00169	ENST00000602607	0.003782988412138753	-0.41079052566866575	10.0	10.0	ENST00000602607	0.02953906663352628	-0.386655206065943	10.0	10.0	ENST00000602607	0.006624363924643605	-0.49487772751245734	10.0	10.0
LH00172	P1P2	0.017136102888106738	-0.7408552650912267	10.0	10.0	P1P2	0.012345329210044362	-0.541402834644975	10.0	10.0	P1P2	0.007198426555657669	-0.6411290498681007	10.0	10.0
LH00173	P1P2	0.26411382326228505	-0.125645967037089	10.0	10.0	P1P2	0.9630301041816755	0.0986308039581421	10.0	10.0	P1P2	0.39267990282118226	0.07788619631576343	10.0	10.0
LH00174	P1P2	0.8497591822016543	-0.1730902376219631	10.0	10.0	P1P2	0.8830407900806216	0.044075718478261784	10.0	10.0	P1P2	0.66355298741692	0.09807839217764107	10.0	10.0
