	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00008	P1P2	0.36030751436604824	-0.05823715420069009	10.0	10.0	P1P2	0.8025642418463443	0.13853886518803435	10.0	10.0	P1P2	0.8207158703585795	0.05778484665458689	10.0	10.0
LH00016	P1P2	0.41830084977302173	-0.06116311067062074	10.0	10.0	P1P2	0.9252242932265626	-0.05313463361606199	10.0	10.0	P1P2	0.5924318604448692	-0.04750400565974373	10.0	10.0
LH00017															
LH00019	CUFF.62.1	0.42090325174262866	-0.10111999210131961	10.0	10.0	CUFF.62.1	0.33764777347919817	0.22920036781663958	10.0	10.0	CUFF.62.1	0.8619275493758254	0.05429608233507784	10.0	10.0
LH00022															
LH00026	CUFF.12.1	0.4465455553289239	0.14567369679058742	10.0	10.0	CUFF.12.1	0.42131026283911654	0.05731438993024868	10.0	10.0	CUFF.12.1	0.17462643327340255	0.10353430140096008	10.0	10.0
LH00027															
LH00031	CUFF.23.1	0.10828580882482924	-0.3081964261219855	10.0	10.0	CUFF.23.1	0.12877500933493505	-0.32942080511992766	10.0	10.0	CUFF.23.1	0.03354907114401575	-0.24634574952107088	10.0	10.0
LH00032	ENST00000607307	0.27529092683673484	-0.06721276022812715	10.0	10.0	ENST00000607307	0.035456663544594244	-0.3997910928416464	10.0	10.0	ENST00000607307	0.013387466114690025	-0.24854228950998195	10.0	10.0
LH00034															
LH00037	ENST00000596308	0.018480926369396924	0.33962137106741386	10.0	10.0	ENST00000596308	0.25281858583869465	0.4570801238815742	10.0	10.0	ENST00000596308	0.0012283239556667624	0.2294194668687161	10.0	10.0
LH00038	P1P2	0.3571535400667313	-0.1605780257736991	10.0	10.0	P1P2	0.5944864477082914	-0.07448067719102897	10.0	10.0	P1P2	0.3919686250905261	-0.22303545804924055	10.0	10.0
LH00042	CUFF.75.2	0.08536205119889195	0.26791990634174695	10.0	10.0	CUFF.75.2	0.8859659660410576	0.21655763229484204	10.0	10.0	CUFF.75.2	0.3170151893277964	0.32178038287790167	10.0	10.0
LH00046															
LH00048	ENST00000607459	0.7172420423262358	-0.07124279354594736	10.0	10.0	ENST00000607459	0.4109799657167631	0.20750450950204072	10.0	10.0	ENST00000607459	0.21832313427600647	0.13568658012995993	10.0	10.0
LH00053															
LH00054	ENST00000429480	0.05848436521886894	0.4055974637094562	10.0	10.0	ENST00000429480	0.21846219828158753	-0.18380822171886027	10.0	10.0	ENST00000429480	0.8195450683506167	0.11656105687364192	10.0	10.0
LH00055	CUFF.216.1	0.0025793172248555272	-0.4135968687678473	10.0	10.0	CUFF.216.1	0.9706515038664786	-0.2439910610654695	10.0	10.0	CUFF.216.1	0.007014566341425582	-0.2852595788335128	10.0	10.0
LH00064															
LH00071	P1P2	0.22058424817579814	-0.25860780945051093	10.0	10.0	P1P2	0.5636717540140599	-0.23899676163435643	10.0	10.0	P1P2	0.14022856231869027	-0.16385719552669312	10.0	10.0
LH00072	CUFF.320.1	0.0004493062787284417	-0.5439667963823049	10.0	10.0	CUFF.320.1	0.7247301334005049	0.024107634341218553	10.0	10.0	CUFF.320.1	0.0042527446276780685	-0.33471887099896414	10.0	10.0
LH00073	CUFF.320.2	0.020602966878160486	-0.3384860499743825	10.0	10.0	CUFF.320.2	0.891898654230737	0.06773732381270235	10.0	10.0	CUFF.320.2	0.15452091140348767	-0.15451825756859677	10.0	10.0
LH00074	P1P2	0.08454463061042129	-0.294573531098357	10.0	10.0	P1P2	0.5830985176060661	-0.3298154094239561	10.0	10.0	P1P2	0.13386497486030707	-0.26121117709409963	10.0	10.0
LH00080	ENST00000607145	0.055924287427865774	-0.4434495729985855	10.0	10.0	ENST00000607145	0.3679831080766156	-0.11477178977529152	10.0	10.0	ENST00000607145	0.354799506124183	-0.20911719425453143	10.0	10.0
LH00082	P1P2	0.016349743543933926	-0.37638404566854966	10.0	10.0	P1P2	0.5044546067109154	0.19393629279494776	10.0	10.0	P1P2	0.022397395281129048	-0.20012415554022397	10.0	10.0
LH00084	P1P2	0.35089794056881607	-0.09345077804024655	10.0	10.0	P1P2	0.1272698200678435	0.20874151383733988	10.0	10.0	P1P2	0.5374794643718985	0.09410465852708046	10.0	10.0
LH00087	CUFF.398.1	0.06564323084616344	-0.3042784072474381	10.0	10.0	CUFF.398.1	0.9598782938242529	0.09487253097013437	10.0	10.0	CUFF.398.1	0.2867129458841883	-0.12944558959876282	10.0	10.0
LH00101	CUFF.474.2	0.5534916918721724	0.2723523202468825	10.0	10.0	CUFF.474.2	0.05506063750617009	0.36013618046190105	10.0	10.0	CUFF.474.2	0.11857765958565851	0.34027374455954157	10.0	10.0
LH00110	CUFF.504.1	0.23569141939372773	0.17044402254761182	10.0	10.0	CUFF.504.1	0.602831881155746	0.08623774877557722	10.0	10.0	CUFF.504.1	0.47584525892897356	0.10480960825026792	10.0	10.0
LH00116	ENST00000439577	0.6401036712507924	-0.2672278513647057	10.0	10.0	ENST00000439577	0.00964937553570187	-0.6162684722972308	10.0	10.0	ENST00000439577	0.11611014217350554	-0.31169591386059226	10.0	10.0
LH00117	CUFF.512.1	0.45015090322118634	-0.2629463655139523	10.0	10.0	CUFF.512.1	0.8188639837474194	-0.02156538151354041	10.0	10.0	CUFF.512.1	0.8939844851230447	-0.2353543076889518	10.0	10.0
LH00127	CUFF.569.1	0.7330540054411323	-0.41038252314067547	10.0	10.0	CUFF.569.1	0.16873168264919824	0.23181844364037932	10.0	10.0	CUFF.569.1	0.4349423503887494	-0.15655572523774425	10.0	10.0
LH00132	ENST00000413451	0.9825801827485304	0.08685493469264884	10.0	10.0	ENST00000413451	0.7202303830210685	-0.13034192793456809	10.0	10.0	ENST00000413451	0.7892526692155559	-0.05948244208692968	10.0	10.0
LH00133	CUFF.600.1	0.26225586104784704	0.050159450087928	10.0	10.0	CUFF.600.1	0.2839674272979855	-0.1508888231186426	10.0	10.0	CUFF.600.1	0.7985418218291218	-0.033725200544420984	10.0	10.0
LH00134	CUFF.599.1	0.5666714254822288	0.06645982076274755	10.0	10.0	CUFF.599.1	0.16873168264919824	0.103559878062633	10.0	10.0	CUFF.599.1	0.6018353564518559	-0.07598082519468279	10.0	10.0
LH00139	P1P2	0.4899340873677782	0.2245450916673075	10.0	10.0	P1P2	0.6453258669764641	0.2408896939325252	10.0	10.0	P1P2	0.34625210874528733	0.039609684326860704	10.0	10.0
LH00165	ENST00000448791	0.05929139490743015	-0.08510714540938091	10.0	10.0	ENST00000448791	0.31543948499998054	0.2769837306122019	10.0	10.0	ENST00000448791	0.6837718931701169	0.017806886259220417	10.0	10.0
LH00171	P1P2	0.06542280965209164	-0.21856072171158245	10.0	10.0	P1P2	0.740553353297827	0.025450612665605193	10.0	10.0	P1P2	0.1370182720367144	-0.09393879240855858	10.0	10.0
LH00184	CUFF.891.1	0.5986933814635023	0.25453928829243805	10.0	10.0	CUFF.891.1	0.17918986563971417	0.02125805103363256	10.0	10.0	CUFF.891.1	0.26418346285077654	0.07598887842889868	10.0	10.0
LH00193															
LH00202	P1P2	0.05072631234094976	-0.14374999295527455	10.0	10.0	P1P2	0.016175030326438723	0.3300683135811706	10.0	10.0	P1P2	0.9513709278411919	0.1296384330047992	10.0	10.0
LH00206	ENST00000429293	0.8642950210923724	0.11797078491000806	10.0	10.0	ENST00000429293	0.0793082060376605	-0.2595353319659507	10.0	10.0	ENST00000429293	0.2251567513566518	-0.08347961184548053	10.0	10.0
LH00215	CUFF.1036.1	0.3555830933955253	0.08810780008580253	10.0	10.0	CUFF.1036.1	0.4982421995857075	0.02570794643544107	10.0	10.0	CUFF.1036.1	0.2515164026023363	0.04738675474265033	10.0	10.0
LH00217	CUFF.1031.1,CUFF.1031.2	0.7444184840538106	-0.2325445281152839	10.0	10.0	CUFF.1031.1,CUFF.1031.2	0.7123791729318407	0.1478726204996526	10.0	10.0	CUFF.1031.1,CUFF.1031.2	0.7206204043240436	-0.0251246224904611	10.0	10.0
LH00220	ENST00000419993	0.5697341372556088	-0.2623905851378833	10.0	10.0	ENST00000419993	0.5455600649138124	-0.09464940182488647	10.0	10.0	ENST00000419993	0.22229107018038974	0.07064853669977056	10.0	10.0
LH00228	CUFF.1087.1	0.6804575054718318	0.06976663137900828	10.0	10.0	CUFF.1087.1	0.33462995938507456	-0.11690100800890531	10.0	10.0	CUFF.1087.1	0.506168890901014	-0.06382933248452277	10.0	10.0
LH00231	ENST00000418255	0.4393843895453938	-0.13511999451262166	10.0	10.0	ENST00000418255	0.7599152553106687	0.09103681181198174	10.0	10.0	ENST00000418255	0.9993992689751865	-0.038807608736552535	10.0	10.0
LH00232	ENST00000565390	0.23988098311255202	-0.274966466540096	10.0	10.0	ENST00000565390	0.7428229820647256	0.3193559343035857	10.0	10.0	ENST00000565390	0.8939844851230447	-0.1395559320952844	10.0	10.0
LH00238															
LH00240	ENST00000414339	0.41140759336304256	0.17040609133925197	10.0	10.0	ENST00000414339	0.7485068039354759	0.3204061282126081	10.0	10.0	ENST00000414339	0.21329663417388345	0.08226435217835769	10.0	10.0
LH00246															
LH00261	CUFF.1254.1	0.23096705861899136	0.18049595951330213	10.0	10.0	CUFF.1254.1	0.4221779435345753	0.18197925109740828	10.0	10.0	CUFF.1254.1	0.14022856231869027	0.13764567664046082	10.0	10.0
LH00263	CUFF.1258.1	0.16206978890796353	0.030679283530557395	10.0	10.0	CUFF.1258.1	0.8895248337482684	0.07554222703653841	10.0	10.0	CUFF.1258.1	0.2552712176720029	0.024674078772601648	10.0	10.0
LH00264	CUFF.1258.5	0.3401189108869025	0.2802941120891613	10.0	10.0	CUFF.1258.5	0.40080158639316243	0.13217664502926044	10.0	10.0	CUFF.1258.5	0.23038127855005397	0.25446542514072773	10.0	10.0
LH00267	CUFF.1274.1	0.5158493242226063	-0.17882945036230632	10.0	10.0	CUFF.1274.1	0.9192619380415343	-0.06410660453367796	10.0	10.0	CUFF.1274.1	0.435828678534805	-0.06117091261538118	10.0	10.0
LH00268	ENST00000455247	0.9023260736768473	-0.07553290503905902	10.0	10.0	ENST00000455247	0.9192619380415343	0.20509791505221853	10.0	10.0	ENST00000455247	0.965768836192525	-0.012548431255287734	10.0	10.0
LH00274	CUFF.1324.1	0.04245031363642187	-0.324423556499946	10.0	10.0	CUFF.1324.1	0.9754414339623484	0.17264160971313278	10.0	10.0	CUFF.1324.1	0.1575962712359127	-0.16853124595011834	10.0	10.0
LH00275	CUFF.1348.1	0.7194936737576967	0.5745924516244973	10.0	10.0	CUFF.1348.1	0.5555864201948042	0.8979370190711959	10.0	10.0	CUFF.1348.1	0.6070884348146903	0.7126492834815452	10.0	10.0
LH00282	ENST00000425802	0.021612357761591337	0.3219462405934135	10.0	10.0	ENST00000425802	0.19733096245836845	-0.26906178562688804	10.0	10.0	ENST00000425802	0.46749977332612114	0.05169241180418996	10.0	10.0
LH00286	CUFF.1400.1	0.13230952318916672	-0.08955571648727818	10.0	10.0	CUFF.1400.1	0.2179008156475991	-0.08974956933168231	10.0	10.0	CUFF.1400.1	0.06346635507585002	-0.17971040565106267	10.0	10.0
LH00292	CUFF.1424.1	0.6749472436536041	-0.270553912401786	10.0	10.0	CUFF.1424.1	0.5385954336362478	0.05272637599214882	10.0	10.0	CUFF.1424.1	0.24841695586013957	-0.08749154798117494	10.0	10.0
LH00293	CUFF.1428.1	0.4331728191531421	-0.029556098017109067	10.0	10.0	CUFF.1428.1	0.48078583561377	-0.08520746841160143	10.0	10.0	CUFF.1428.1	0.18438595907839905	-0.0007436293373838387	10.0	10.0
LH00295	CUFF.1436.1	0.6882005624544335	0.017165396519499703	10.0	10.0	CUFF.1436.1	0.48265680789104204	-0.09993846085123666	10.0	10.0	CUFF.1436.1	0.6661670624795697	-0.19947933209066446	10.0	10.0
LH00296	P1P2	0.02480609274658246	-0.4899530516190713	10.0	10.0	P1P2	0.0012021269227151124	-0.36581469171519343	10.0	10.0	P1P2	6.659434499072514e-05	-0.3549797574399573	10.0	10.0
LH00297	CUFF.1442.1	0.14682233871764258	0.13143846474033538	10.0	10.0	CUFF.1442.1	0.09509392049904043	0.324675899589056	10.0	10.0	CUFF.1442.1	0.04949200729240865	0.28651975880666497	10.0	10.0
LH00298	P1P2	0.617655503386056	-0.22304853597132393	10.0	10.0	P1P2	0.03706167545526125	-0.35443630887408434	10.0	10.0	P1P2	0.07646348910304035	-0.2833344667069639	10.0	10.0
LH00302	CUFF.1470.1	0.26806791794290385	0.08460986706610059	10.0	10.0	CUFF.1470.1	0.01726968889633894	0.13549657062344772	10.0	10.0	CUFF.1470.1	0.018555970756695444	0.24651629547657894	10.0	10.0
LH00323															
LH00324	CUFF.1655.4	0.8832769177951509	-0.07322515382655642	10.0	10.0	CUFF.1655.4	0.9503081930577644	0.09446796601480556	10.0	10.0	CUFF.1655.4	0.9047114078553127	0.03540913381754451	10.0	10.0
LH00327	CUFF.1735.1	0.14226418282373346	0.1654547874449801	10.0	10.0	CUFF.1735.1	0.25531957925007553	-0.11064813506006561	10.0	10.0	CUFF.1735.1	0.5830963365107424	-0.05962320273988439	10.0	10.0
LH00328	CUFF.1733.1	0.5424581916474828	0.07261802056457713	10.0	10.0	CUFF.1733.1	6.463360826840406e-05	0.45313113125984844	10.0	10.0	CUFF.1733.1	0.001696064972610881	0.33360584572393553	10.0	10.0
LH00334	CUFF.1807.1	0.726263116476449	-0.010752051642904261	10.0	10.0	CUFF.1807.1	0.9371612793921491	0.07339378913074264	10.0	10.0	CUFF.1807.1	0.9861838756385772	-0.047690684668268556	10.0	10.0
LH00335															
LH00336	CUFF.1838.1	0.23988098311255202	0.10478030822152617	10.0	10.0	CUFF.1838.1	0.052085753638219025	0.29481243281459174	10.0	10.0	CUFF.1838.1	0.018782706127291385	0.1936184483194967	10.0	10.0
LH00341	TUCPT_00000056	0.026602289910080193	-0.4093378548079576	10.0	10.0	TUCPT_00000056	0.8871520033771407	-0.18869731148274993	10.0	10.0	TUCPT_00000056	0.08427356863260917	-0.2684891719852488	10.0	10.0
LH00354															
LH00358	CUFF.1990.4	0.6123618908045287	-0.09911030627604787	10.0	10.0	CUFF.1990.4	0.4075702400389706	0.10760066779112465	10.0	10.0	CUFF.1990.4	0.6826664162360034	0.04874395181623847	10.0	10.0
LH00360															
LH00362	CUFF.2001.1	0.7592755671571003	0.0730906480732542	10.0	10.0	CUFF.2001.1	0.8611221971661251	-0.05329991130460099	10.0	10.0	CUFF.2001.1	0.8477494799777363	0.07080713352512762	10.0	10.0
LH00368	ENST00000609247	0.1303849396416739	-0.1729057556331627	10.0	10.0	ENST00000609247	0.14459729898334064	-0.20211451504728814	10.0	10.0	ENST00000609247	0.0487980713400763	-0.32554906965435954	10.0	10.0
LH00369	ENST00000414686	0.5052061308053681	0.0821004816404625	10.0	10.0	ENST00000414686	0.998202749442662	-0.056222386813712576	10.0	10.0	ENST00000414686	0.617655503386056	0.05184696780112619	10.0	10.0
LH00383															
