	rho	rho	rho
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100029_+_17886983.23-CUFF.46587.1	0.14823972997253276	-0.2535367325893455	-0.05264850130840637
common:TSS100029_+_17887058.23-CUFF.46587.1	0.06862200326921619	0.01575353093971323	0.04218776710446471
common:TSS100029_+_17887350.23-CUFF.46587.1	0.2836365220946085	-1.278679487710161	-0.4975214828077763
common:TSS100029_+_17887368.23-CUFF.46587.1	0.06630055194581098	-0.016638466511113427	0.02483104271734878
common:TSS100029_-_17887230.23-CUFF.46587.1	-0.11546058170129539	0.15684830867387814	0.020693863486291375
common:TSS100029_-_17887235.23-CUFF.46587.1	0.10117694977471987	0.2670348898953314	0.18410591983502564
common:TSS100029_-_17887298.23-CUFF.46587.1	0.0747824228946347	0.034461337029083605	0.05462187996185915
common:TSS100029_-_17887338.23-CUFF.46587.1	0.18883510991974442	0.15045511588866284	0.16964511290420364
common:TSS100029_-_17887367.23-CUFF.46587.1	0.09248058577933206	-0.35809612616055014	-0.13280777019060905
common:TSS100029_-_17887378.23-CUFF.46587.1	0.509535187661433	0.27867097696276777	0.3941030823121004
common:TSS100101_+_22132504.23-P1P2	-0.007977805821366856	0.43347273129337327	0.2127474627360032
common:TSS100101_+_22132507.23-P1P2	-0.15739213499913737	-0.2206520127205358	-0.1890220738598366
common:TSS100101_+_22132619.23-P1P2	-0.044430504195741766	0.011951047300077513	-0.016239728447832127
common:TSS100101_+_22132660.23-P1P2	0.02369385052418189	-0.15483264151627033	-0.06556939549604422
common:TSS100101_+_22132668.23-P1P2	0.02965766251099224	-0.13633382062531688	-0.05333807905716232
common:TSS100101_+_22132672.23-P1P2	0.042629749559377886	-0.015040114375919823	0.013794817591729031
common:TSS100101_+_22132681.23-P1P2	0.061727002950930934	-0.07524240383086311	-0.00675770043996609
common:TSS100101_+_22132686.23-P1P2	-0.17530128613589724	0.03769409955583893	-0.06880359329002915
common:TSS100101_-_22132320.23-P1P2	-0.2844685828265407	0.24095858037988804	-0.021755001223326326
common:TSS100101_-_22132607.23-P1P2	0.016967161299910345	-0.014253204168007454	0.0013569785659514454
common:TSS100115_+_22475297.23-CUFF.46684.1	0.13232690511899264	0.11435507908492804	0.12334099210196034
common:TSS100115_+_22475387.23-CUFF.46684.1	-0.03247355192325618	-0.022672785768502048	-0.027573168845879115
common:TSS100115_+_22475503.23-CUFF.46684.1	0.06712401355332251	0.20550874448380943	0.13631637901856597
common:TSS100115_+_22475508.23-CUFF.46684.1	-0.277912876785411	-0.05487273639082612	-0.16639280658811856
common:TSS100115_+_22475535.23-CUFF.46684.1	-0.02065235836346036	0.060879322462452576	0.020113482049496107
common:TSS100115_-_22475334.23-CUFF.46684.1	0.10470009526996259	-0.0596591012833347	0.022520496993313942
common:TSS100115_-_22475436.23-CUFF.46684.1	-0.09796904520122542	-0.05882601681133274	-0.07839753100627908
common:TSS100115_-_22475448.23-CUFF.46684.1	-0.2611062233151113	-0.2559926146284589	-0.25854941897178507
common:TSS100115_-_22475487.23-CUFF.46684.1	-0.20423213551169872	-0.3353175938656918	-0.26977486468869527
common:TSS100115_-_22475553.23-CUFF.46684.1	-0.08206482420124289	0.21795872006399622	0.06794694793137666
common:TSS100132_+_23429031.23-CUFF.46709.1,CUFF.46709.2	-0.08828815819009835	0.1490643769636491	0.03038810938677538
common:TSS100132_+_23429034.23-CUFF.46709.1,CUFF.46709.2	-0.2787202030156493	0.020243827134949106	-0.1292381879403501
common:TSS100132_+_23429037.23-CUFF.46709.1,CUFF.46709.2	-0.0034675090413117584	-0.027893145369313005	-0.015680327205312383
common:TSS100132_+_23429058.23-CUFF.46709.1,CUFF.46709.2	0.13896379957086052	-0.19240409787161117	-0.026720149150375322
common:TSS100132_-_23428698.23-CUFF.46709.1,CUFF.46709.2	0.13071892316676703	-0.10972316543476976	0.010497878865998636
common:TSS100132_-_23428917.23-CUFF.46709.1,CUFF.46709.2	0.26280372861155116	-0.02773873572937314	0.11753249644108901
common:TSS100132_-_23428929.23-CUFF.46709.1,CUFF.46709.2	0.032012152451024775	-0.6696497178235846	-0.31881878268627994
common:TSS100132_-_23429040.23-CUFF.46709.1,CUFF.46709.2	0.026213568980999	0.13835597776850453	0.08228477337475176
common:TSS100132_-_23429072.23-CUFF.46709.1,CUFF.46709.2	-0.5101437035838485	-0.05690646699132181	-0.2835250852875852
common:TSS100132_-_23429116.23-CUFF.46709.1,CUFF.46709.2	-0.12404387641156792	-0.4218946301877459	-0.27296925329965693
common:TSS100272_+_30013660.23-ENST00000607315	0.13248291054013261	0.2014783835126785	0.16698064702640555
common:TSS100272_+_30013675.23-ENST00000607315	0.11810460740446209	-0.1510633219916016	-0.01647935729356976
common:TSS100272_+_30013722.23-ENST00000607315	-0.08165843931242227	0.03049219438705529	-0.02558312246268349
common:TSS100272_+_30013743.23-ENST00000607315	0.09471499018554366	0.11715766597118787	0.10593632807836577
common:TSS100272_-_30013579.23-ENST00000607315	-0.028440335707345388	-0.07303443908596208	-0.05073738739665373
common:TSS100272_-_30013670.23-ENST00000607315	-0.09413240277544717	-0.14815545829726512	-0.12114393053635614
common:TSS100272_-_30013691.23-ENST00000607315	-0.08870619223910196	-0.16239692408467243	-0.1255515581618872
common:TSS100272_-_30013704.23-ENST00000607315	-0.20252995503911939	-0.08039825391345629	-0.14146410447628782
