	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS100029_+_17886983.23-CUFF.46587.1	3883	4010	3212	2509
common:TSS100029_+_17887058.23-CUFF.46587.1	5018	5201	3928	3922
common:TSS100029_+_17887350.23-CUFF.46587.1	361	605	328	186
common:TSS100029_+_17887368.23-CUFF.46587.1	3886	3990	3037	2942
common:TSS100029_-_17887230.23-CUFF.46587.1	2357	2446	1624	2034
common:TSS100029_-_17887235.23-CUFF.46587.1	1856	1845	1486	1656
common:TSS100029_-_17887298.23-CUFF.46587.1	5134	4990	4036	3812
common:TSS100029_-_17887338.23-CUFF.46587.1	3740	3579	3182	2963
common:TSS100029_-_17887367.23-CUFF.46587.1	2689	2758	2140	1605
common:TSS100029_-_17887378.23-CUFF.46587.1	639	704	679	637
common:TSS100101_+_22132504.23-P1P2	2274	1913	1688	1927
common:TSS100101_+_22132507.23-P1P2	3580	3590	2396	2298
common:TSS100101_+_22132619.23-P1P2	2918	3094	2112	2327
common:TSS100101_+_22132660.23-P1P2	2591	2306	1966	1545
common:TSS100101_+_22132668.23-P1P2	2537	2701	1933	1833
common:TSS100101_+_22132672.23-P1P2	2712	3273	2085	2416
common:TSS100101_+_22132681.23-P1P2	1747	1952	1361	1382
common:TSS100101_+_22132686.23-P1P2	2832	2829	1872	2166
common:TSS100101_-_22132320.23-P1P2	3815	3586	2338	3161
common:TSS100101_-_22132607.23-P1P2	4666	4831	3524	3568
common:TSS100115_+_22475297.23-CUFF.46684.1	1512	1589	1237	1283
common:TSS100115_+_22475387.23-CUFF.46684.1	2798	2717	2042	1995
common:TSS100115_+_22475503.23-CUFF.46684.1	2041	2280	1596	1961
common:TSS100115_+_22475508.23-CUFF.46684.1	2149	1628	1323	1169
common:TSS100115_+_22475535.23-CUFF.46684.1	3013	2906	2217	2261
common:TSS100115_-_22475334.23-CUFF.46684.1	1920	1741	1541	1246
common:TSS100115_-_22475436.23-CUFF.46684.1	3870	3871	2699	2772
common:TSS100115_-_22475448.23-CUFF.46684.1	2092	1982	1303	1238
common:TSS100115_-_22475487.23-CUFF.46684.1	2326	2615	1507	1546
common:TSS100115_-_22475553.23-CUFF.46684.1	3439	3503	2425	3039
common:TSS100132_+_23429031.23-CUFF.46709.1,CUFF.46709.2	2652	2695	1862	2229
common:TSS100132_+_23429034.23-CUFF.46709.1,CUFF.46709.2	2459	2447	1513	1851
common:TSS100132_+_23429037.23-CUFF.46709.1,CUFF.46709.2	1629	1822	1213	1333
common:TSS100132_+_23429058.23-CUFF.46709.1,CUFF.46709.2	1151	1463	946	955
common:TSS100132_-_23428698.23-CUFF.46709.1,CUFF.46709.2	1778	1707	1453	1180
common:TSS100132_-_23428917.23-CUFF.46709.1,CUFF.46709.2	1532	1584	1372	1159
common:TSS100132_-_23428929.23-CUFF.46709.1,CUFF.46709.2	2601	2847	1985	1335
common:TSS100132_-_23429040.23-CUFF.46709.1,CUFF.46709.2	2622	2575	1993	2114
common:TSS100132_-_23429072.23-CUFF.46709.1,CUFF.46709.2	1307	1138	685	816
common:TSS100132_-_23429116.23-CUFF.46709.1,CUFF.46709.2	1917	2105	1313	1172
common:TSS100272_+_30013660.23-ENST00000607315	3207	2881	2624	2471
common:TSS100272_+_30013675.23-ENST00000607315	2496	2626	2022	1764
common:TSS100272_+_30013722.23-ENST00000607315	2301	2515	1623	1916
common:TSS100272_+_30013743.23-ENST00000607315	3070	3068	2447	2482
common:TSS100272_-_30013579.23-ENST00000607315	2562	2468	1875	1750
common:TSS100272_-_30013670.23-ENST00000607315	3302	3420	2309	2302
common:TSS100272_-_30013691.23-ENST00000607315	1939	1862	1361	1241
common:TSS100272_-_30013704.23-ENST00000607315	5627	5653	3650	3988
common:TSS100272_-_30013708.23-ENST00000607315	2517	2345	1538	1720
common:TSS100272_-_30013780.23-ENST00000607315	987	946	517	627
common:TSS100533_+_41401990.23-P1P2	3588	3381	2304	3003
common:TSS100533_+_41402004.23-P1P2	1414	1581	978	985
common:TSS100533_+_41402022.23-P1P2	2344	2270	1724	1991
common:TSS100533_+_41402335.23-P1P2	3206	2850	2213	2412
common:TSS100533_+_41402367.23-P1P2	5313	5049	3843	4490
common:TSS100533_+_41402411.23-P1P2	3472	3356	2248	2485
common:TSS100533_-_41402035.23-P1P2	2137	2121	1589	1578
common:TSS100533_-_41402302.23-P1P2	3250	3578	2330	2354
common:TSS100533_-_41402307.23-P1P2	2741	3126	2050	2579
common:TSS100533_-_41402382.23-P1P2	2333	2303	1348	1578
common:TSS100559_+_42262883.23-CUFF.47094.1	4686	4885	4153	4283
common:TSS100559_+_42263032.23-CUFF.47094.1	4087	3942	2769	2835
common:TSS100559_+_42263145.23-CUFF.47094.1	2897	3277	2389	2564
common:TSS100559_+_42263232.23-CUFF.47094.1	2909	2923	2425	2036
common:TSS100559_-_42262939.23-CUFF.47094.1	4042	4032	2892	2988
common:TSS100559_-_42262960.23-CUFF.47094.1	2969	2783	1776	2308
common:TSS100559_-_42263152.23-CUFF.47094.1	4916	4865	3527	2929
common:TSS100559_-_42263165.23-CUFF.47094.1	2267	2251	1781	1523
common:TSS100559_-_42263174.23-CUFF.47094.1	2582	2681	1873	2058
common:TSS100559_-_42263262.23-CUFF.47094.1	2236	2467	1390	1470
common:TSS100574_+_42882330.23-CUFF.47126.1,CUFF.47126.2	3558	3176	2313	2188
common:TSS100574_+_42882388.23-CUFF.47126.1,CUFF.47126.2	1390	1254	787	720
common:TSS100574_+_42882409.23-CUFF.47126.1,CUFF.47126.2	2719	3105	2445	2032
common:TSS100574_+_42882515.23-CUFF.47126.1,CUFF.47126.2	2656	2445	1543	1665
common:TSS100574_+_42882612.23-CUFF.47126.1,CUFF.47126.2	3518	3749	2357	2452
common:TSS100574_+_42882617.23-CUFF.47126.1,CUFF.47126.2	3307	3307	2309	2380
common:TSS100574_+_42882620.23-CUFF.47126.1,CUFF.47126.2	2173	2325	1836	1321
