		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts												
LH00001	CUFF.182.5,CUFF.182.7	0.9364380116254061	-0.02033678697584601	10	10	0.35585764138281717	-0.09658713289464545	10	10	0.4221839397229259	-0.044400415749856204	10	10
LH00007	ENST00000422528	0.4919496796661297	0.232296746631119	10	10	0.5510178703068558	0.035980375496470395	10	10	0.5319010589362428	0.16074724076979444	10	10
LH00012	ENST00000412115	0.7595780271231806	0.34164083028578435	10	10	0.2151979906664292	-0.1738711552875919	10	10	0.5281250939362383	0.06726979863437664	10	10
LH00013	ENST00000326734	0.8544915049842454	0.2896449876951584	10	10	0.6635529863241987	0.13352708389092174	10	10	0.8489169817818423	0.06802878785983625	10	10
LH00017	ENST00000608189,ENST00000609009	0.48148932200918093	-0.011661832707939551	10	10	0.34870397703879674	-0.061214311383622794	10	10	0.7720905934499332	0.059785403421810816	10	10
LH00018	P1P2	0.3238267701270756	0.33463959394343273	10	10	0.4974076774957462	0.045653226949188386	10	10	0.26089861071393006	0.20016008561455165	10	10
LH00022	CUFF.5.1	0.8985141571190248	-0.014952125398146868	10	10	0.4101245160433423	0.031056789874167972	10	10	0.4386975576090144	-0.006438851388285427	10	10
LH00023	P1P2	0.8980584773691358	0.04100340320804382	10	10	0.5626150038262047	0.28707334143320157	10	10	0.550214042158763	0.052291340065250304	10	10
LH00024	CUFF.16.11	0.36037534145754846	0.049570511424223924	10	10	0.07817809324428246	0.16970044069362067	10	10	0.11766735703786174	0.07399487814865331	10	10
LH00027	ENST00000434139,ENST00000453732	0.4152277740968541	-0.056173864334317834	9	9	0.09369832275529211	-0.10532490314469267	9	9	0.08824879637982425	-0.09386382198379002	9	9
LH00034	CUFF.120.1,CUFF.120.2	0.7234693373573775	0.046357864284242746	10	10	0.44225063558924194	0.033312436642372094	10	10	0.830892930285373	0.06673177819518916	10	10
LH00035	CUFF.40.1	0.7455895012992806	-0.008195094006579898	10	10	0.3303638845915191	-0.15343090837668605	10	10	0.7610887192023139	-0.06205562340717102	10	10
LH00043	CUFF.78.1	0.6029028296069295	-0.09925655476714858	10	10	0.16904279758059781	-0.15372033802675567	10	10	0.14579460347265155	-0.1318149881363816	10	10
LH00045	CUFF.70.1	0.11247222417704306	0.3351593819060233	10	10	0.4563982974393179	0.04355762436842427	10	10	0.14168805691487757	0.20705390117781688	10	10
LH00046	ENST00000606645	0.9071782610231165	0.09777864727864509	10	10	0.4223388924166237	-0.18267237719395044	10	10	0.37955148205492706	0.03418794392437322	10	10
LH00051	CUFF.143.3	0.11078743125938174	0.16407367867252368	10	10	0.500697890011423	0.19085956327467016	10	10	0.1198466610667942	0.18818700254403117	10	10
