	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00008	P1P2	0.9585681925609169	0.08702265214857857	10.0	10.0	P1P2	0.10057174440267275	-0.23665045648175873	10.0	10.0	P1P2	0.23628673796415678	-0.08832935105360508	10.0	10.0
LH00016	P1P2	0.4131245570750395	0.28970194755594575	10.0	10.0	P1P2	0.9323846387615802	0.0812720721817043	10.0	10.0	P1P2	0.6091953842028524	0.10079648549218345	10.0	10.0
LH00017															
LH00019	CUFF.62.1	0.6552559576376134	0.08373317118610628	10.0	10.0	CUFF.62.1	0.9419401835272632	0.08349367842757621	10.0	10.0	CUFF.62.1	0.8406785800583081	-0.01505118335609181	10.0	10.0
LH00022															
LH00026	CUFF.12.1	0.6454984148468643	0.02841207391813558	10.0	10.0	CUFF.12.1	0.008458513584435959	-0.3334244495351706	10.0	10.0	CUFF.12.1	0.032926434382523184	-0.10650144378625308	10.0	10.0
LH00027															
LH00031	CUFF.23.1	0.11163483943891601	0.12390347564852865	10.0	10.0	CUFF.23.1	0.46138114430630794	0.16047811632201783	10.0	10.0	CUFF.23.1	0.1315370656342621	0.1568263937010473	10.0	10.0
LH00032	ENST00000607307	0.059273211594618666	0.23872095359470583	9.0	9.0	ENST00000607307	0.6801844676166685	0.08924372604485874	10.0	10.0	ENST00000607307	0.07459951276116437	0.16453514714777104	9.0	9.0
LH00034															
LH00037	ENST00000596308	0.01000411104946428	-0.2531181373271516	10.0	10.0	ENST00000596308	0.3491197415628613	-0.08234330291076906	10.0	10.0	ENST00000596308	0.009960632254167162	-0.17312367145298838	10.0	10.0
LH00038	P1P2	0.7060210542384933	0.026824803915490154	10.0	10.0	P1P2	0.7473689362962244	0.024827708770884815	10.0	10.0	P1P2	0.7172420423262358	0.06070627227740296	10.0	10.0
LH00042	CUFF.75.2	0.7116237404522954	0.0133768635409759	10.0	10.0	CUFF.75.2	0.4550114869641918	0.018106131606985043	10.0	10.0	CUFF.75.2	0.5119656585449723	0.006763250790096857	10.0	10.0
LH00046															
LH00048	ENST00000607459	0.4739836773666526	0.20292908247051641	10.0	10.0	ENST00000607459	0.6801844676166685	-0.10628656458863676	10.0	10.0	ENST00000607459	0.2667687627328085	0.05441322224755829	10.0	10.0
LH00053															
LH00054	ENST00000429480	0.46645638066962347	0.10943421505662539	9.0	9.0	ENST00000429480	0.3460366145278434	0.06915606569913887	10.0	10.0	ENST00000429480	0.20469275840176826	0.05997193744834072	9.0	9.0
LH00055	CUFF.216.1	0.2687191230620102	0.1860455416927261	10.0	10.0	CUFF.216.1	0.5555864231936456	0.06878714033194787	10.0	10.0	CUFF.216.1	0.1390179891533586	0.025952652503383317	10.0	10.0
LH00064															
LH00071	P1P2	0.31194412135643923	-0.025512326206492186	10.0	10.0	P1P2	0.8942734446139435	0.053301658769836315	10.0	10.0	P1P2	0.45015090322118634	-0.01770285030788382	10.0	10.0
LH00072	CUFF.320.1	0.4537726874467388	0.05004004353212699	10.0	10.0	CUFF.320.1	0.07777841266204356	0.03905289347688142	10.0	10.0	CUFF.320.1	0.9190407279867756	-0.006149371161365079	10.0	10.0
LH00073	CUFF.320.2	0.06586426388926465	0.3184092156826865	10.0	10.0	CUFF.320.2	0.19733096585766563	-0.047192349061546346	10.0	10.0	CUFF.320.2	0.32435284160705646	0.053699173095827286	10.0	10.0
LH00074	P1P2	0.39950790282088466	-0.11072426930671468	10.0	10.0	P1P2	0.1641322317785534	-0.14944316023179227	10.0	10.0	P1P2	0.21663826264408947	-0.1912544369891853	10.0	10.0
LH00080	ENST00000607145	0.7997050030702293	0.10647976623739792	10.0	10.0	ENST00000607145	0.7921305393463745	0.274690454845466	10.0	10.0	ENST00000607145	0.7650139140961557	0.06902168963136861	10.0	10.0
LH00082	P1P2	0.15803936797108875	0.23458312877177634	10.0	10.0	P1P2	0.8317264526142952	0.10608364180245099	10.0	10.0	P1P2	0.14390895529184264	0.20281573269625106	10.0	10.0
LH00084	P1P2	0.2590648250135572	-0.19600713067182754	10.0	10.0	P1P2	0.8235358018370815	0.029730305751879033	10.0	10.0	P1P2	0.2459567098990485	-0.0580577291721052	10.0	10.0
LH00087	CUFF.398.1	0.7273934551016381	-0.11311118488464313	10.0	10.0	CUFF.398.1	0.031463734335354106	-0.47640276260007314	10.0	10.0	CUFF.398.1	0.4908812573129716	-0.27484634937424385	10.0	10.0
LH00101	CUFF.474.2	0.04626813886587027	-0.24285564752644706	10.0	10.0	CUFF.474.2	0.8907116223618632	-0.0809350189904775	10.0	10.0	CUFF.474.2	0.21440635147296472	-0.20690848410166732	10.0	10.0
LH00110	CUFF.504.1	0.9106784596854007	-0.06082182671866099	10.0	10.0	CUFF.504.1	0.3323780464347018	-0.1001929872991308	10.0	10.0	CUFF.504.1	0.3214046137213258	-0.04878532843839512	10.0	10.0
LH00116	ENST00000439577	0.26612081196445625	-0.3465728459941066	10.0	10.0	ENST00000439577	0.28127656237674914	0.1655722020393944	10.0	10.0	ENST00000439577	0.9993992689751865	-0.09638949306241647	10.0	10.0
LH00117	CUFF.512.1	0.03255762148908237	0.36271407440630665	10.0	10.0	CUFF.512.1	0.45229686863748586	-0.1100670852282553	10.0	10.0	CUFF.512.1	0.19506194373862817	0.16389490328060424	10.0	10.0
LH00127	CUFF.569.1	0.9014015617044892	0.3813561856188574	9.0	9.0	CUFF.569.1	0.03719817721710159	0.22020616247085703	10.0	10.0	CUFF.569.1	0.06482649903209152	0.25770499224362503	9.0	9.0
LH00132	ENST00000413451	0.5414606097455428	0.09813850651109308	10.0	10.0	ENST00000413451	0.39744273628324456	-0.013256837555697365	10.0	10.0	ENST00000413451	0.940582646990222	-0.03943136408137117	10.0	10.0
LH00133	CUFF.600.1	0.9335428810907436	-0.027861724394521115	9.0	9.0	CUFF.600.1	0.2914569449505878	-0.20164592798782358	10.0	10.0	CUFF.600.1	0.5288389539621372	0.013909636957950338	9.0	9.0
LH00134	CUFF.599.1	0.48051670171419714	-0.04055424534032697	10.0	10.0	CUFF.599.1	0.35377703121713877	-0.09132862689398086	10.0	10.0	CUFF.599.1	0.3033759288024387	-0.07507798662023883	10.0	10.0
LH00139	P1P2	0.024964541016645615	-0.2894988285055835	9.0	9.0	P1P2	0.5208935679937503	-0.02298906605025709	10.0	10.0	P1P2	0.2307584626466742	-0.10509888948821645	9.0	9.0
LH00165	ENST00000448791	0.23509716289123617	0.13063989274922624	10.0	10.0	ENST00000448791	0.6122830029553374	0.1093838733558921	10.0	10.0	ENST00000448791	0.9166505535699294	0.11170919060766603	10.0	10.0
LH00171	P1P2	0.9585681925609169	-0.06089360739939284	10.0	10.0	P1P2	0.8729369874665804	0.15197123541068105	10.0	10.0	P1P2	0.9513709278411919	0.08265696175895255	10.0	10.0
LH00184	CUFF.891.1	0.4058567810548501	0.006680433731094226	10.0	10.0	CUFF.891.1	0.636727901997203	0.18536200137947864	10.0	10.0	CUFF.891.1	0.4314074598401968	0.024762259859285474	10.0	10.0
LH00193															
LH00202	P1P2	0.7364573399230755	-0.04318972191055994	10.0	10.0	P1P2	0.47519670117767354	-0.07650113828560029	10.0	10.0	P1P2	0.8312707678116171	0.055696232472439454	10.0	10.0
LH00206	ENST00000429293	0.670551528870514	0.0799247045274883	10.0	10.0	ENST00000429293	0.21734047424865366	-0.04472997045907606	10.0	10.0	ENST00000429293	0.7489800639775492	-0.11481273007286823	10.0	10.0
LH00215	CUFF.1036.1	0.04693174454865096	-0.257168386442356	10.0	10.0	CUFF.1036.1	0.6724972366850182	0.022017725994328607	10.0	10.0	CUFF.1036.1	0.08646187155808459	-0.18247813664330903	10.0	10.0
LH00217	CUFF.1031.1,CUFF.1031.2	0.6596117374047654	0.13000378891447084	10.0	10.0	CUFF.1031.1,CUFF.1031.2	0.6281785780463394	-0.20697403464503694	10.0	10.0	CUFF.1031.1,CUFF.1031.2	0.8619275493758254	-0.014976864352890732	10.0	10.0
LH00220	ENST00000419993	0.7307880228981896	0.046414702655148014	10.0	10.0	ENST00000419993	0.8107038546020685	0.2219432978195078	10.0	10.0	ENST00000419993	0.8524702675245206	-0.04121911391355711	10.0	10.0
LH00228	CUFF.1087.1	0.8536512975664365	0.10946615072334702	10.0	10.0	CUFF.1087.1	0.4622951444811856	0.041997877476697955	10.0	10.0	CUFF.1087.1	0.6563438108458828	-0.02597878843657252	10.0	10.0
LH00231	ENST00000418255	0.7501218397970806	0.025303116371748213	10.0	10.0	ENST00000418255	0.32420498770740336	-0.1728779704407781	10.0	10.0	ENST00000418255	0.45649977768824845	-0.12942707223779973	10.0	10.0
LH00232	ENST00000565390	0.6993188280806348	0.0435618430551244	10.0	10.0	ENST00000565390	0.20527407025777333	0.17785261659595733	10.0	10.0	ENST00000565390	0.37552652002174014	0.06142622071707818	10.0	10.0
LH00238															
LH00240	ENST00000414339	0.4305263465763114	-0.06589026666164895	10.0	10.0	ENST00000414339	0.21846220177494624	-0.08531664551931824	10.0	10.0	ENST00000414339	0.18739111785286056	-0.13647863607495378	10.0	10.0
LH00246															
LH00261	CUFF.1254.1	0.3370785854125141	-0.4003621405893127	10.0	10.0	CUFF.1254.1	0.2949047773035912	-0.3327796390116321	10.0	10.0	CUFF.1254.1	0.22573303990147653	-0.40862833759409445	10.0	10.0
LH00263	CUFF.1258.1	0.947773745613783	0.07901562200443309	10.0	10.0	CUFF.1258.1	0.6122830029553374	0.1493462081550059	10.0	10.0	CUFF.1258.1	0.4937286610335002	0.08593716181444484	10.0	10.0
LH00264	CUFF.1258.5	0.024903052737146558	-0.22662297490375058	10.0	10.0	CUFF.1258.5	0.25406694441595057	0.12542784836985474	10.0	10.0	CUFF.1258.5	0.7455580458958848	-0.08675473347635569	10.0	10.0
LH00267	CUFF.1274.1	0.5769110154336206	0.12493969049826659	10.0	10.0	CUFF.1274.1	0.30968312382692464	-0.055273562560288175	10.0	10.0	CUFF.1274.1	0.3540170099080404	-0.022025700515950746	10.0	10.0
LH00268	ENST00000455247	0.7997050030702293	-0.11836540274863401	10.0	10.0	ENST00000455247	0.7247301354039017	-0.06837335137926837	10.0	10.0	ENST00000455247	0.6716494081279873	-0.20025792017479968	10.0	10.0
LH00274	CUFF.1324.1	0.3447122442888717	0.05984685893964317	10.0	10.0	CUFF.1324.1	0.9850237789565017	0.039559620612311795	10.0	10.0	CUFF.1324.1	0.5217033514633627	0.05078269215018016	10.0	10.0
LH00275	CUFF.1348.1	0.5414606097455428	0.03551816775993503	10.0	10.0	CUFF.1348.1	0.143361217874419	-0.19178250590736215	10.0	10.0	CUFF.1348.1	0.21945160069948433	-0.1430347565960283	10.0	10.0
LH00282	ENST00000425802	0.981379027140122	0.012753269029834804	10.0	10.0	ENST00000425802	0.5006267656252898	0.045460741034971386	10.0	10.0	ENST00000425802	0.8265758240736544	0.032758011726686145	10.0	10.0
LH00286	CUFF.1400.1	0.1858840488568927	0.21220415520625147	10.0	10.0	CUFF.1400.1	0.34989324082555384	-0.031744031244295735	10.0	10.0	CUFF.1400.1	0.636875909354737	0.05897954584652524	10.0	10.0
LH00292	CUFF.1424.1	0.17367210190365878	-0.07917534524673553	10.0	10.0	CUFF.1424.1	0.5830985204638075	0.03754776694625398	10.0	10.0	CUFF.1424.1	0.47584525892897356	-0.042800574763056605	10.0	10.0
LH00293	CUFF.1428.1	0.726263116476449	-0.09866622855536704	10.0	10.0	CUFF.1428.1	0.3004779385467987	0.10395502276631362	10.0	10.0	CUFF.1428.1	0.7546943966770674	0.04066551792743368	10.0	10.0
LH00295	CUFF.1436.1	0.956168699948774	0.0744923272283428	10.0	10.0	CUFF.1436.1	0.9144953045543318	-0.06068963010518441	10.0	10.0	CUFF.1436.1	0.9154557474753148	0.012879465470161435	10.0	10.0
LH00296	P1P2	0.05458489297274747	0.525436913901354	10.0	10.0	P1P2	0.09509392300802734	-0.22626025274900607	10.0	10.0	P1P2	0.23332076027510396	0.08705035495261322	10.0	10.0
LH00297	CUFF.1442.1	0.06176810623246713	-0.30689372409801	10.0	10.0	CUFF.1442.1	0.5892975161991227	0.08568721380293036	10.0	10.0	CUFF.1442.1	0.27661834047453804	-0.17740097325471982	10.0	10.0
LH00298	P1P2	0.7581294752154748	0.15637328715363297	10.0	10.0	P1P2	0.48265681121236625	0.07893759078839838	10.0	10.0	P1P2	0.8008686288097899	0.09055822218592403	10.0	10.0
LH00302	CUFF.1470.1	0.6293712929666186	0.05043110856305461	10.0	10.0	CUFF.1470.1	0.9886177896794612	-0.060572477013143194	10.0	10.0	CUFF.1470.1	0.4071337545415864	0.07467307441921754	10.0	10.0
LH00323															
LH00324	CUFF.1655.4	0.5168226233637806	-0.09210923764802685	10.0	10.0	CUFF.1655.4	0.884780184966705	0.07543220715881034	10.0	10.0	CUFF.1655.4	0.4767775508456773	-0.036925265149323365	10.0	10.0
LH00327	CUFF.1735.1	0.7569839145888491	0.08542693026759368	10.0	10.0	CUFF.1735.1	0.8282138806357643	0.10817611385043972	10.0	10.0	CUFF.1735.1	0.6970899180667967	0.028005054432152742	10.0	10.0
LH00328	CUFF.1733.1	0.5626001323061182	-0.04168695300551969	10.0	10.0	CUFF.1733.1	0.41526586010058686	-0.004344338899568913	10.0	10.0	CUFF.1733.1	0.39950790282088466	-0.05351536008817726	10.0	10.0
LH00334	CUFF.1807.1	0.5256249349247109	0.09241021883925511	10.0	10.0	CUFF.1807.1	0.2779373858353511	0.17789053611566052	10.0	10.0	CUFF.1807.1	0.12400352951394342	0.07072336204472586	10.0	10.0
LH00335															
LH00336	CUFF.1838.1	0.2577959734411621	-0.30141852327093466	10.0	10.0	CUFF.1838.1	0.0543039468332018	-0.2616211111773505	10.0	10.0	CUFF.1838.1	0.03380093113281089	-0.2314135505971863	10.0	10.0
LH00341	TUCPT_00000056	0.019165985801238187	-0.30995306938346706	10.0	10.0	TUCPT_00000056	0.9204540574374342	0.09503594022832991	10.0	10.0	TUCPT_00000056	0.13781547967633964	-0.17782713694116267	10.0	10.0
LH00354															
LH00358	CUFF.1990.4	0.533513077913522	-0.12465802290312707	10.0	10.0	CUFF.1990.4	0.30329067406926347	0.008970655021090485	10.0	10.0	CUFF.1990.4	0.25338896681038303	-0.0578436839410183	10.0	10.0
LH00360															
LH00362	CUFF.2001.1	0.04561245142536851	-0.1735923094402927	10.0	10.0	CUFF.2001.1	0.9742438618447246	0.07539785725495175	10.0	10.0	CUFF.2001.1	0.1935096401266112	-0.012889650610666548	10.0	10.0
LH00368	ENST00000609247	0.2726491596222632	0.11336355804407262	10.0	10.0	ENST00000609247	0.34680576536983176	-0.08667026638280406	10.0	10.0	ENST00000609247	0.9106784596854007	0.04827895714608951	10.0	10.0
LH00369	ENST00000414686	0.02076828875367124	-0.22865251274270446	10.0	10.0	ENST00000414686	0.7023294866961154	0.03341696662391929	10.0	10.0	ENST00000414686	0.05709402302435559	-0.06092761013761303	10.0	10.0
LH00383															
