	gamma	gamma	gamma
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100029_+_17886983.23-CUFF.46587.1	0.09382631200298479	0.04114523599758904	0.06748577400028691
common:TSS100029_+_17887058.23-CUFF.46587.1	-0.15267146317019317	-0.04172738930923357	-0.09719942623971337
common:TSS100029_+_17887350.23-CUFF.46587.1	-0.24446739759040995	0.19450540671777589	-0.02498099543631703
common:TSS100029_+_17887368.23-CUFF.46587.1	-0.10916498622919892	0.12504262532987187	0.007938819550336478
common:TSS100029_-_17887230.23-CUFF.46587.1	-0.0350480061026291	-0.1753384138232278	-0.10519320996292844
common:TSS100029_-_17887235.23-CUFF.46587.1	-0.020845029393501354	-0.18870413526453386	-0.10477458232901761
common:TSS100029_-_17887298.23-CUFF.46587.1	0.017984326986255295	-0.03423803296382802	-0.008126852988786362
common:TSS100029_-_17887338.23-CUFF.46587.1	-0.0671723472936886	-0.03127707294755192	-0.049224710120620255
common:TSS100029_-_17887367.23-CUFF.46587.1	-0.3802938392556334	0.17943409209271327	-0.10042987358146008
common:TSS100029_-_17887378.23-CUFF.46587.1	-0.06879461306384956	0.11818790324421366	0.024696645090182053
common:TSS100101_+_22132504.23-P1P2	-0.11393551251425454	0.15898694897866394	0.0225257182322047
common:TSS100101_+_22132507.23-P1P2	-0.13428400851084926	0.002514645649071881	-0.06588468143088869
common:TSS100101_+_22132619.23-P1P2	-0.11733387232865658	-0.04561708888244962	-0.0814754806055531
common:TSS100101_+_22132660.23-P1P2	0.16779020985670565	-0.0531745197398061	0.05730784505844977
common:TSS100101_+_22132668.23-P1P2	0.07073931033998504	-0.16362654348160666	-0.04644361657081081
common:TSS100101_+_22132672.23-P1P2	0.11069197720206965	0.09599955153237572	0.10334576436722268
common:TSS100101_+_22132681.23-P1P2	-0.1001846258654054	0.16362754840670282	0.03172146127064871
common:TSS100101_+_22132686.23-P1P2	0.1602510907154637	0.07454102688063416	0.11739605879804893
common:TSS100101_-_22132320.23-P1P2	0.23113155193616283	0.21358280992156256	0.2223571809288627
common:TSS100101_-_22132607.23-P1P2	-0.023902422301822233	0.12205704568104883	0.049077311689613295
