	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS100029_+_17886983.23-CUFF.46587.1	7095	6519	910	10247
common:TSS100029_+_17887058.23-CUFF.46587.1	8946	9123	1503	15793
common:TSS100029_+_17887350.23-CUFF.46587.1	689	791	128	1040
common:TSS100029_+_17887368.23-CUFF.46587.1	6923	6932	1109	9882
common:TSS100029_-_17887230.23-CUFF.46587.1	3981	4480	588	9061
common:TSS100029_-_17887235.23-CUFF.46587.1	3342	3501	486	7192
common:TSS100029_-_17887298.23-CUFF.46587.1	9170	8802	1278	15105
common:TSS100029_-_17887338.23-CUFF.46587.1	6922	6542	1059	11188
common:TSS100029_-_17887367.23-CUFF.46587.1	4829	4363	1041	5838
common:TSS100029_-_17887378.23-CUFF.46587.1	1318	1341	202	1927
common:TSS100101_+_22132504.23-P1P2	3962	3840	638	5262
common:TSS100101_+_22132507.23-P1P2	5976	5888	984	9681
common:TSS100101_+_22132619.23-P1P2	5030	5421	813	9427
common:TSS100101_+_22132660.23-P1P2	4557	3851	539	6756
common:TSS100101_+_22132668.23-P1P2	4470	4534	588	9046
common:TSS100101_+_22132672.23-P1P2	4797	5689	604	8389
common:TSS100101_+_22132681.23-P1P2	3108	3334	493	4544
common:TSS100101_+_22132686.23-P1P2	4704	4995	561	7552
common:TSS100101_-_22132320.23-P1P2	6153	6747	679	8676
common:TSS100101_-_22132607.23-P1P2	8190	8399	1195	12015
common:TSS100115_+_22475297.23-CUFF.46684.1	2749	2872	430	5702
common:TSS100115_+_22475387.23-CUFF.46684.1	4840	4712	695	7065
common:TSS100115_+_22475503.23-CUFF.46684.1	3637	4241	624	9395
common:TSS100115_+_22475508.23-CUFF.46684.1	3472	2797	552	4689
common:TSS100115_+_22475535.23-CUFF.46684.1	5230	5167	792	7256
common:TSS100115_-_22475334.23-CUFF.46684.1	3461	2987	433	3858
common:TSS100115_-_22475436.23-CUFF.46684.1	6569	6643	1095	10781
common:TSS100115_-_22475448.23-CUFF.46684.1	3395	3220	555	4666
common:TSS100115_-_22475487.23-CUFF.46684.1	3833	4161	311	8812
common:TSS100115_-_22475553.23-CUFF.46684.1	5864	6542	555	9839
common:TSS100132_+_23429031.23-CUFF.46709.1,CUFF.46709.2	4514	4924	460	9427
common:TSS100132_+_23429034.23-CUFF.46709.1,CUFF.46709.2	3972	4298	524	6254
common:TSS100132_+_23429037.23-CUFF.46709.1,CUFF.46709.2	2842	3155	436	6986
common:TSS100132_+_23429058.23-CUFF.46709.1,CUFF.46709.2	2097	2418	376	4458
common:TSS100132_-_23428698.23-CUFF.46709.1,CUFF.46709.2	3231	2887	432	2906
common:TSS100132_-_23428917.23-CUFF.46709.1,CUFF.46709.2	2904	2743	498	4193
common:TSS100132_-_23428929.23-CUFF.46709.1,CUFF.46709.2	4586	4182	697	7878
common:TSS100132_-_23429040.23-CUFF.46709.1,CUFF.46709.2	4615	4689	687	6751
common:TSS100132_-_23429072.23-CUFF.46709.1,CUFF.46709.2	1992	1954	186	2540
common:TSS100132_-_23429116.23-CUFF.46709.1,CUFF.46709.2	3230	3277	413	4098
common:TSS100272_+_30013660.23-ENST00000607315	5831	5352	995	10999
common:TSS100272_+_30013675.23-ENST00000607315	4518	4390	592	7076
common:TSS100272_+_30013722.23-ENST00000607315	3924	4431	478	5967
common:TSS100272_+_30013743.23-ENST00000607315	5517	5550	735	8693
common:TSS100272_-_30013579.23-ENST00000607315	4437	4218	461	6620
common:TSS100272_-_30013670.23-ENST00000607315	5611	5722	759	8863
common:TSS100272_-_30013691.23-ENST00000607315	3300	3103	481	5825
common:TSS100272_-_30013704.23-ENST00000607315	9277	9641	1420	19542
common:TSS100272_-_30013708.23-ENST00000607315	4055	4065	658	7359
common:TSS100272_-_30013780.23-ENST00000607315	1504	1573	151	3110
common:TSS100533_+_41401990.23-P1P2	5892	6384	751	12011
common:TSS100533_+_41402004.23-P1P2	2392	2566	348	4388
common:TSS100533_+_41402022.23-P1P2	4068	4261	634	8432
common:TSS100533_+_41402335.23-P1P2	5419	5262	702	8602
common:TSS100533_+_41402367.23-P1P2	9156	9539	1115	13798
common:TSS100533_+_41402411.23-P1P2	5720	5841	897	9563
common:TSS100533_-_41402035.23-P1P2	3726	3699	676	6270
common:TSS100533_-_41402302.23-P1P2	5580	5932	799	9418
