Gene ID,TSS ID,Transcript ID,gene name,chromosome,strand,TSS source,primary TSS 5prime,primary TSS 3prime,secondary TSS 5prime,secondary TSS 3prime
LH00001,TSS5,"CUFF.182.5,CUFF.182.7",RP4-669L17.10,chr1,+,Annotation,319165,319165,319165,319165
LH00002,TSS11,ENST00000419160,RP4-669L17.10,chr1,+,Annotation,322672,322672,322672,322672
LH00003,TSS12,ENST00000601814,RP4-669L17.10,chr1,+,Annotation,323861,323861,323861,323861
LH00004,TSS24,CUFF.184.1,RP5-857K21.15,chr1,+,Annotation,345576,345576,345576,345576
LH00005,TSS17,CUFF.182.21,RP5-857K21.15,chr1,+,Annotation,360122,360122,360122,360122
LH00006,TSS23,CUFF.182.27,RP5-857K21.15,chr1,+,Annotation,461321,461321,461321,461321
LH00007,TSS27,ENST00000422528,RP11-206L10.4,chr1,+,Annotation,696291,696291,696291,696291
LH00008,TSS28,P1P2,RP11-206L10.9,chr1,+,"CAGE, primary peaks",714170,714189,714228,714237
LH00008,TSS29,P1P2,RP11-206L10.9,chr1,+,"CAGE, primary peaks",714170,714189,714228,714237
LH00009,TSS31,CUFF.67.8,RP11-206L10.9,chr1,+,Annotation,716987,716987,716987,716987
LH00010,TSS32,"ENST00000585745,ENST00000585768",RP11-206L10.9,chr1,+,Annotation,719750,719750,719750,719750
LH00011,TSS34,ENST00000443772,RP11-206L10.9,chr1,+,Annotation,740179,740179,740179,740179
LH00012,TSS35,ENST00000412115,RP11-206L10.9,chr1,+,Annotation,740312,740312,740312,740312
LH00013,TSS36,ENST00000326734,FAM87B,chr1,+,Annotation,752751,752751,752751,752751
LH00014,TSS37,CUFF.7.1,-,chr1,+,Annotation,756056,756056,756056,756056
LH00015,TSS38,CUFF.7.2,-,chr1,+,Annotation,756411,756411,756411,756411
LH00016,TSS39,P1P2,LINC01128,chr1,+,"CAGE, primary peaks",763033,763058,762985,762988
LH00017,TSS40,"ENST00000608189,ENST00000609009",LINC01128,chr1,+,Annotation,764443,764443,764443,764443
LH00018,TSS41,P1P2,LINC01128,chr1,+,"CAGE, primary peaks",766956,766975,766956,766975
LH00019,TSS45,CUFF.62.1,RP11-54O7.16,chr1,+,CAGE permissive peak,840158,840168,840237,840249
LH00020,TSS47,P1P2,RP11-54O7.1,chr1,+,"CAGE, primary peaks",846792,846823,846792,846823
LH00021,TSS48,ENST00000398216,RP11-54O7.2,chr1,+,Annotation,849551,849551,849551,849551
LH00022,TSS50,CUFF.5.1,-,chr1,+,Annotation,944141,944141,944141,944141
LH00023,TSS51,P1P2,RP11-54O7.14,chr1,+,"CAGE, primary peaks",990396,990415,990291,990297
LH00024,TSS52,CUFF.16.11,-,chr1,+,Annotation,1028129,1028129,1028129,1028129
LH00025,TSS59,P1P2,RP11-465B22.8,chr1,+,"CAGE, primary peaks",1104457,1104458,1104457,1104458
LH00026,TSS64,CUFF.12.1,RP5-902P8.10,chr1,+,Annotation,1210339,1210339,1210339,1210339
LH00027,TSS65,"ENST00000434139,ENST00000453732",RP5-902P8.10,chr1,+,Annotation,1210610,1210610,1210610,1210610
LH00028,TSS69,CUFF.37.1,-,chr1,+,Annotation,1284538,1284538,1284538,1284538
LH00029,TSS67,CUFF.36.6,MXRA8-ASTUCP1,chr1,+,Annotation,1286615,1286615,1286615,1286615
LH00030,TSS68,"CUFF.36.9,CUFF.36.11",MXRA8-ASTUCP1,chr1,+,Annotation,1286771,1286771,1286771,1286771
LH00031,TSS71,CUFF.23.1,-,chr1,+,Annotation,1343536,1343536,1343536,1343536
LH00032,TSS72,ENST00000607307,RP4-758J18.13,chr1,+,Annotation,1344476,1344476,1344476,1344476
LH00033,TSS76,CUFF.50.1,-,chr1,+,Annotation,1364363,1364363,1364363,1364363
LH00034,TSS77,"CUFF.120.1,CUFF.120.2",LINC-C1orf233-1,chr1,+,Annotation,1533413,1533413,1533413,1533413
LH00035,TSS81,CUFF.40.1,-,chr1,+,Annotation,1573179,1573179,1573179,1573179
LH00036,TSS82,P1P2,RP11-345P4.10,chr1,+,"CAGE, primary peaks",1590486,1590520,1590577,1590609
LH00037,TSS83,ENST00000596308,RP11-345P4.7,chr1,+,Annotation,1603429,1603429,1603429,1603429
LH00038,TSS84,P1P2,RP1-140A9.1,chr1,+,"CAGE, primary peaks",1822613,1822673,1822957,1822994
LH00039,TSS86,CUFF.42.1,-,chr1,+,Annotation,1829793,1829793,1829793,1829793
LH00040,TSS103,ENST00000442483,RP11-181G12.4,chr1,+,CAGE permissive peak,2144114,2144133,2144145,2144154
LH00041,TSS107,CUFF.61.1,-,chr1,+,Annotation,2252909,2252909,2252909,2252909
LH00042,TSS111,CUFF.75.2,RP4-740C4.6,chr1,+,Annotation,2279250,2279250,2279250,2279250
LH00043,TSS114,CUFF.78.1,RP4-740C4.7,chr1,+,Annotation,2294477,2294477,2294477,2294477
LH00044,TSS113,CUFF.75.4,-,chr1,+,Annotation,2297570,2297570,2297570,2297570
LH00045,TSS115,CUFF.70.1,-,chr1,+,Annotation,2310326,2310326,2310326,2310326
LH00046,TSS122,ENST00000606645,RP3-395M20.12,chr1,+,CAGE permissive peak,2477806,2477817,2477888,2477891
LH00047,TSS146,ENST00000606489,RP11-168F9.2,chr1,+,Annotation,3403810,3403810,3403810,3403810
LH00048,TSS153,ENST00000607459,RP1-286D6.5,chr1,+,Annotation,3701572,3701572,3701572,3701572
LH00049,TSS160,"CUFF.188.1,CUFF.188.8,CUFF.188.5,CUFF.188.6",-,chr1,+,CAGE permissive peak,4036198,4036204,4036198,4036204
LH00049,TSS161,"CUFF.188.23,CUFF.188.25",-,chr1,+,CAGE permissive peak,4036198,4036204,4036198,4036204
LH00050,TSS178,CUFF.175.1,-,chr1,+,Annotation,4469725,4469725,4469725,4469725
LH00051,TSS180,CUFF.143.3,-,chr1,+,CAGE permissive peak,4521014,4521037,4521014,4521037
LH00052,TSS198,CUFF.201.1,-,chr1,+,Annotation,5175690,5175690,5175690,5175690
LH00053,TSS220,P1P2,LINC00337,chr1,+,"CAGE, primary peaks",6296241,6296282,6296198,6296216
LH00053,TSS221,P1P2,LINC00337,chr1,+,"CAGE, primary peaks",6296241,6296282,6296198,6296216
LH00054,TSS222,ENST00000429480,LINC00337,chr1,+,Annotation,6297831,6297831,6297831,6297831
LH00055,TSS223,CUFF.216.1,-,chr1,+,Annotation,6309698,6309698,6309698,6309698
LH00056,TSS224,ENST00000607670,RP1-202O8.3,chr1,+,CAGE permissive peak,6453568,6453609,6453705,6453715
LH00057,TSS226,CUFF.217.3,-,chr1,+,"CAGE, robust peak",6550666,6550713,6550666,6550713
LH00058,TSS227,CUFF.222.1,-,chr1,+,CAGE permissive peak,6663030,6663056,6663197,6663214
LH00059,TSS236,CUFF.246.1,-,chr1,+,Annotation,7463628,7463628,7463628,7463628
LH00060,TSS239,ENST00000602406,RP3-467L1.6,chr1,+,Annotation,7836443,7836443,7836443,7836443
LH00061,TSS240,CUFF.251.1,-,chr1,+,Annotation,7971663,7971663,7971663,7971663
LH00062,TSS256,CUFF.282.14,-,chr1,+,Annotation,8262750,8262750,8262750,8262750
LH00063,TSS274,CUFF.275.1,-,chr1,+,Annotation,8820341,8820341,8820341,8820341
LH00064,TSS279,P1P2,ENO1-AS1,chr1,+,"CAGE, primary peaks",8938853,8938899,8938915,8938953
LH00065,TSS286,"CUFF.339.2,CUFF.339.3,CUFF.339.4",-,chr1,+,Annotation,9207955,9207955,9207955,9207955
LH00066,TSS288,CUFF.342.1,-,chr1,+,Annotation,9224528,9224528,9224528,9224528
LH00067,TSS289,CUFF.342.2,-,chr1,+,Annotation,9227573,9227573,9227573,9227573
LH00068,TSS290,P1P2,RP3-510D11.2,chr1,+,"CAGE, primary peaks",9242221,9242293,9242019,9242028
LH00069,TSS307,CUFF.326.2,RP11-84A14.5,chr1,+,Annotation,9903853,9903853,9903853,9903853
LH00070,TSS308,CUFF.326.3,RP11-84A14.5,chr1,+,CAGE permissive peak,9906311,9906328,9906311,9906328
LH00071,TSS309,P1P2,RP11-84A14.5,chr1,+,"CAGE, primary peaks",9908285,9908309,9908285,9908309
LH00072,TSS312,CUFF.320.1,-,chr1,+,Annotation,9986071,9986071,9986071,9986071
LH00073,TSS313,CUFF.320.2,-,chr1,+,Annotation,9986378,9986378,9986378,9986378
LH00074,TSS314,P1P2,RP11-84A14.4,chr1,+,"CAGE, primary peaks",10002639,10002680,10002947,10002990
LH00075,TSS315,ENST00000413148,RP11-807G9.2,chr1,+,Annotation,10043199,10043199,10043199,10043199
LH00076,TSS316,CUFF.336.1,RP5-1113E3.3,chr1,+,Annotation,10514620,10514620,10514620,10514620
LH00077,TSS317,ENST00000424487,RP5-1113E3.3,chr1,+,Annotation,10518612,10518612,10518612,10518612
LH00078,TSS320,CUFF.335.1,-,chr1,+,Annotation,10721417,10721417,10721417,10721417
LH00079,TSS321,CUFF.335.2,-,chr1,+,Annotation,10722250,10722250,10722250,10722250
LH00080,TSS327,ENST00000607145,RP4-635E18.8,chr1,+,Annotation,11089716,11089716,11089716,11089716
LH00081,TSS328,CUFF.359.1,-,chr1,+,Annotation,11109978,11109978,11109978,11109978
LH00082,TSS331,P1P2,RP4-635E18.6,chr1,+,"CAGE, primary peaks",11159473,11159501,11159473,11159501
LH00083,TSS332,ENST00000445982,MTOR-AS1,chr1,+,Annotation,11203955,11203955,11203955,11203955
LH00084,TSS348,P1P2,NPPA-AS1,chr1,+,"CAGE, primary peaks",11900859,11900889,11900859,11900889
LH00085,TSS352,CUFF.390.1,-,chr1,+,Annotation,11966643,11966643,11966643,11966643
LH00086,TSS359,CUFF.393.2,-,chr1,+,Annotation,12667388,12667388,12667388,12667388
LH00087,TSS360,CUFF.398.1,RP11-474O21.5,chr1,+,"CAGE, robust peak",12678016,12678039,12678016,12678039
LH00088,TSS379,CUFF.696.10,RNU6-1265P-ASTUCP1,chr1,+,Annotation,14299874,14299874,14299874,14299874
LH00089,TSS381,CUFF.696.17,RNU6-1265P-ASTUCP1,chr1,+,CAGE permissive peak,14501862,14501893,14501862,14501893
LH00090,TSS392,CUFF.426.1,-,chr1,+,Annotation,15092602,15092602,15092602,15092602
LH00091,TSS399,CUFF.448.1,-,chr1,+,Annotation,15797035,15797035,15797035,15797035
LH00092,TSS400,CUFF.449.1,-,chr1,+,Annotation,15797535,15797535,15797535,15797535
LH00093,TSS405,CUFF.454.1,-,chr1,+,Annotation,16133664,16133664,16133664,16133664
