gene,transcripts,chromosome,position,strand,annotation source
A1BG,ENST00000263100.3,chr19,58864864,-,GENCODE
A1CF,"ENST00000282641.2,ENST00000373997.3,ENST00000374001.2",chr10,52645434,-,GENCODE
A1CF,ENST00000373993.1,chr10,52619744,-,GENCODE
A2M,ENST00000318602.7,chr12,9268752,-,GENCODE
A2ML1,ENST00000299698.7,chr12,8975067,+,GENCODE
A3GALT2,ENST00000442999.3,chr1,33786698,-,GENCODE
A4GALT,"ENST00000249005.2,ENST00000381278.3",chr22,43091638,-,GENCODE
A4GALT,ENST00000401850.1,chr22,43090991,-,GENCODE
A4GNT,ENST00000236709.3,chr3,137851228,-,GENCODE
AAAS,ENST00000209873.4,chr12,53715414,-,GENCODE
AACS,ENST00000316519.6,chr12,125549924,+,GENCODE
AADAC,ENST00000232892.7,chr3,151531824,+,GENCODE
AADACL2,ENST00000356517.3,chr3,151451714,+,GENCODE
AADACL3,ENST00000359318.5,chr1,12776145,+,GENCODE
AADACL4,ENST00000376221.1,chr1,12704565,+,GENCODE
AADAT,ENST00000337664.4,chr4,171011117,-,GENCODE
AADAT,"ENST00000353187.2,ENST00000509167.1",chr4,171011367,-,GENCODE
AADAT,ENST00000515480.1,chr4,171011537,-,GENCODE
AAED1,ENST00000375234.3,chr9,99417562,-,GENCODE
AAGAB,ENST00000261880.5,chr15,67547073,-,GENCODE
AAK1,ENST00000409085.4,chr2,69870848,-,GENCODE
AAMDC,"ENST00000393427.2,ENST00000526415.1",chr11,77532181,+,GENCODE
AAMP,"ENST00000248450.4,ENST00000444053.1",chr2,219134939,-,GENCODE
AANAT,ENST00000392492.3,chr17,74463650,+,GENCODE
AAR2,"ENST00000320849.4,ENST00000373932.3",chr20,34824396,+,GENCODE
AARD,ENST00000378279.3,chr8,117950437,+,GENCODE
AARS,ENST00000261772.8,chr16,70323445,-,GENCODE
AARS2,ENST00000244571.4,chr6,44281062,-,GENCODE
AARSD1,ENST00000427569.2,chr17,41116492,-,GENCODE
AASDH,ENST00000205214.6,chr4,57253665,-,GENCODE
AASDHPPT,ENST00000278618.4,chr11,105948215,+,GENCODE
AASS,ENST00000393376.1,chr7,121773875,-,GENCODE
AASS,ENST00000417368.2,chr7,121784333,-,GENCODE
AATF,ENST00000225402.5,chr17,35306174,+,GENCODE
AATK,ENST00000326724.4,chr17,79139816,-,GENCODE
ABAT,ENST00000268251.8,chr16,8768421,+,GENCODE
ABAT,ENST00000396600.2,chr16,8806825,+,GENCODE
ABAT,ENST00000425191.2,chr16,8814572,+,GENCODE
ABCA1,ENST00000374736.3,chr9,107690517,-,GENCODE
ABCA10,ENST00000269081.4,chr17,67240986,-,GENCODE
ABCA12,ENST00000272895.7,chr2,216003150,-,GENCODE
ABCA13,ENST00000435803.1,chr7,48211056,+,GENCODE
ABCA2,ENST00000265662.5,chr9,139922739,-,GENCODE
ABCA3,ENST00000301732.5,chr16,2390735,-,GENCODE
ABCA4,ENST00000370225.3,chr1,94586687,-,GENCODE
ABCA5,"ENST00000392676.3,ENST00000392677.2",chr17,67323281,-,GENCODE
ABCA5,ENST00000588877.1,chr17,67311565,-,GENCODE
ABCA6,ENST00000284425.2,chr17,67138014,-,GENCODE
ABCA7,ENST00000435683.2,chr19,1042660,+,GENCODE
ABCA8,ENST00000430352.2,chr17,66938224,-,GENCODE
ABCA8,ENST00000586539.1,chr17,66951381,-,GENCODE
ABCA9,ENST00000340001.4,chr17,67057204,-,GENCODE
ABCB1,ENST00000265724.3,chr7,87342563,-,GENCODE
ABCB10,ENST00000344517.4,chr1,229694441,-,GENCODE
ABCB11,ENST00000263817.6,chr2,169887831,-,GENCODE
ABCB4,"ENST00000359206.3,ENST00000545634.1",chr7,87104877,-,GENCODE
ABCB5,"ENST00000258738.6,ENST00000443026.2",chr7,20687004,+,GENCODE
ABCB6,ENST00000265316.3,chr2,220083711,-,GENCODE
ABCB7,"ENST00000253577.3,ENST00000373394.3",chrX,74376122,-,GENCODE
ABCB8,ENST00000358849.4,chr7,150725509,+,GENCODE
ABCB9,ENST00000280560.8,chr12,123451042,-,GENCODE
ABCB9,ENST00000392439.3,chr12,123459751,-,GENCODE
ABCB9,ENST00000542678.1,chr12,123466195,-,GENCODE
ABCC1,ENST00000399410.3,chr16,16043433,+,GENCODE
ABCC10,ENST00000372530.4,chr6,43395291,+,GENCODE
ABCC11,ENST00000356608.2,chr16,48281304,-,GENCODE
ABCC11,ENST00000394747.1,chr16,48266181,-,GENCODE
ABCC11,ENST00000394748.1,chr16,48269087,-,GENCODE
ABCC12,ENST00000311303.3,chr16,48180680,-,GENCODE
ABCC2,ENST00000370449.4,chr10,101542488,+,GENCODE
ABCC3,ENST00000285238.8,chr17,48712217,+,GENCODE
ABCC4,ENST00000376887.4,chr13,95953682,-,GENCODE
ABCC5,ENST00000334444.6,chr3,183735802,-,GENCODE
ABCC6,ENST00000205557.7,chr16,16317320,-,GENCODE
